catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives
9,travel_km_since_last,A,ft,,8687,3261,0.0,2.00339,1.99876,-0.00463,0.00463,-0.07659,+0.00300;-0.00386;-0.00221,+--,-,False,0.00498,False,haversine km venue-to-venue vs own previous played game; first game of season = 0 (schedule fact),0.08159000000000001,True,False
86,venue_elevation,H,fg3,,8687,3261,0.0,3.38333,3.37935,-0.00398,0.00398,0.09798,+0.00068;-0.00321;+0.00560,+-+,-,False,0.00995,False,home arena elevation in kft (schedule fact; max 2.03 kft Las Vegas — near-zero expected per catalog),0.08159000000000001,True,False
30,draft_pedigree_lowexp,C,fg3,,8687,3261,0.0765,3.38333,3.37986,-0.00347,0.00347,-0.06438,-0.00099;+0.00049;-0.00002,-+-,-,False,0.00498,False,"ln(40/pick) gated to experience<=2 (0 for vets, NaN for undrafted — no debut year in bios); undrafted pick=40",0.08159000000000001,True,False
7,b2b_x_age_pooled,C,np2,,8687,3261,0.0,1.61362,1.61113,-0.00249,0.00249,-0.05054,+0.00129;-0.00242;-0.00115,+--,-,False,0.00995,False,player-level B2B flag x (age-27); pooled product — the moderator-permutation version lives in the interactions protocol,0.08159000000000001,True,False
30,draft_pedigree_lowexp,C,np2,,8687,3261,0.0765,1.61362,1.61148,-0.00213,0.00213,-0.06342,+0.00190;+0.00131;-0.00080,++-,-,False,0.00995,False,"ln(40/pick) gated to experience<=2 (0 for vets, NaN for undrafted — no debut year in bios); undrafted pick=40",0.08159000000000001,True,False
31,weight_x_b2b_pooled,C,paint,,8687,3261,0.009,3.47994,3.47749,-0.00244,0.00244,0.08491,-0.00036;+0.00535;+0.00067,-++,-,False,0.01493,False,player-level B2B flag x (weight-170); pooled product; 15 in-window player-seasons lack weight (NaN),0.10202166666666668,False,False
10,tip_split_local,A,fg3,,8687,3261,0.2215,3.38333,3.38057,-0.00276,0.00276,-0.08792,+0.00000;-0.00071;-0.00000,+--,-,False,0.0199,False,"run-1 #10 encoding with captured local tip times (2022+ only; uncaptured rows NaN, never bucketed)",0.11655714285714287,False,False
28,height_x_paint_vol,C,paint,,8687,3261,0.0,3.47994,3.47851,-0.00143,0.00143,0.36584,-0.00044;+0.01732;-0.00363,-+-,-,False,0.03483,False,(height-72.5) x rolling-10 std of paint rate (#37 machinery); pooled product — interactions protocol owns the moderator test,0.17850375,False,False
86,venue_elevation,H,paint,,8687,3261,0.0,3.47994,3.47893,-0.00101,0.00101,-0.03657,+0.00009;+0.00026;-0.00133,++-,-,False,0.0398,False,home arena elevation in kft (schedule fact; max 2.03 kft Las Vegas — near-zero expected per catalog),0.18131111111111112,False,False
31,weight_x_b2b_pooled,C,ft,,8687,3261,0.009,2.00339,2.00262,-0.00077,0.00077,0.04378,+0.00331;-0.00304;+0.00030,+-+,-,False,0.07463,False,player-level B2B flag x (weight-170); pooled product; 15 in-window player-seasons lack weight (NaN),0.305983,False,False
33,age_x_travel_pooled,C,paint,,8687,3261,0.0,3.47994,3.47945,-0.00048,0.00048,-0.03955,+0.00001;+0.00023;+0.00003,+++,-,False,0.15423,False,travel km x (age-27); pooled product — interactions protocol owns the moderator test,0.5748572727272727,False,False
27,age_curve_peak,C,fg3,34.0,8687,3261,0.0,3.38333,3.38205,-0.00128,0.00128,0.07837,-0.00567;-0.00172;-0.00249,---,-,True,0.18408,False,"-(age-peak)^2; peak swept 22..34 on inner folds (the #92 sweep-engine precedent), frozen per channel",0.5962346153846154,False,False
30,draft_pedigree_lowexp,C,ft,,8687,3261,0.0765,2.00339,2.00314,-0.00025,0.00025,0.01837,+0.00041;+0.00236;-0.00030,++-,-,False,0.18905,False,"ln(40/pick) gated to experience<=2 (0 for vets, NaN for undrafted — no debut year in bios); undrafted pick=40",0.5962346153846154,False,False
33,age_x_travel_pooled,C,ft,,8687,3261,0.0,2.00339,2.00307,-0.00032,0.00032,-0.00801,+0.01109;-0.00204;+0.00269,+-+,-,False,0.21891,False,travel km x (age-27); pooled product — interactions protocol owns the moderator test,0.6410935714285715,False,False
27,age_curve_peak,C,ft,34.0,8687,3261,0.0,2.00339,2.00302,-0.00037,0.00037,-0.0063,+0.00036;+0.00072;-0.00007,++-,-,False,0.28856,False,"-(age-peak)^2; peak swept 22..34 on inner folds (the #92 sweep-engine precedent), frozen per channel",0.7139238888888888,False,False
80,minutes_load_x_age_pooled,H,ft,,8687,3261,0.0,2.00339,2.00312,-0.00027,0.00027,-0.0113,+0.00067;-0.00020;+0.00159,+-+,-,False,0.31343,False,7-day strictly-prior minutes load (#79 machinery) x (age-27); pooled product,0.7139238888888888,False,False
33,age_x_travel_pooled,C,fg3,,8687,3261,0.0,3.38333,3.38311,-0.00022,0.00022,0.05824,+0.00018;+0.00274;+0.00004,+++,-,False,0.29353,False,travel km x (age-27); pooled product — interactions protocol owns the moderator test,0.7139238888888888,False,False
29,experience_x_minutes_vol,C,ft,,8687,3261,0.0765,2.00339,2.00324,-0.00015,0.00015,-0.01029,+0.00134;-0.00066;+0.00270,+-+,-,False,0.31343,False,(exp-5) x rolling-10 std of minutes; exp = season - draft_year (drafted only; undrafted NaN); pooled product,0.7139238888888888,False,False
10,tip_split_local,A,paint,,8687,3261,0.2215,3.47994,3.47987,-7e-05,7e-05,-0.00414,+0.00000;+0.00063;-0.00005,++-,-,False,0.39303,False,"run-1 #10 encoding with captured local tip times (2022+ only; uncaptured rows NaN, never bucketed)",0.8481173684210526,False,False
10,tip_split_local,A,ft,,8687,3261,0.2215,2.00339,2.00337,-2e-05,2e-05,-0.02355,+0.00000;+0.00414;+0.00058,+++,-,False,0.42289,False,"run-1 #10 encoding with captured local tip times (2022+ only; uncaptured rows NaN, never bucketed)",0.8669245,False,False
29,experience_x_minutes_vol,C,fg3,,8687,3261,0.0765,3.38333,3.38334,1e-05,-1e-05,0.06501,-0.00173;-0.00020;-0.00301,---,+,False,0.57214,False,(exp-5) x rolling-10 std of minutes; exp = season - draft_year (drafted only; undrafted NaN); pooled product,0.9383095999999999,False,False
9,travel_km_since_last,A,np2,,8687,3261,0.0,1.61362,1.61367,5e-05,-5e-05,0.01745,-0.00062;+0.00692;+0.00386,-++,+,False,0.57214,False,haversine km venue-to-venue vs own previous played game; first game of season = 0 (schedule fact),0.9383095999999999,False,False
29,experience_x_minutes_vol,C,paint,,8687,3261,0.0765,3.47994,3.47999,6e-05,-6e-05,0.0606,-0.00105;+0.00024;+0.00033,-++,+,False,0.53234,False,(exp-5) x rolling-10 std of minutes; exp = season - draft_year (drafted only; undrafted NaN); pooled product,0.9383095999999999,False,False
80,minutes_load_x_age_pooled,H,paint,,8687,3261,0.0,3.47994,3.48004,0.0001,-0.0001,0.00866,+0.00067;+0.00010;-0.00007,++-,+,False,0.48259,False,7-day strictly-prior minutes load (#79 machinery) x (age-27); pooled product,0.9383095999999999,False,False
80,minutes_load_x_age_pooled,H,fg3,,8687,3261,0.0,3.38333,3.38369,0.00036,-0.00036,0.08674,-0.00200;+0.00357;-0.00042,-+-,+,False,0.56716,False,7-day strictly-prior minutes load (#79 machinery) x (age-27); pooled product,0.9383095999999999,False,False
