identity,defective_relabel,genuine_shuffle
-0.0022218316796525084,-0.0022218316796525084,-0.7879996543230694
-0.0022218316796525084,-0.0022218316796525084,-0.8004533840795913
-0.0022218316796525084,-0.0022218316796525084,-0.7900962809133001
-0.0022218316796525084,-0.0022218316796525084,-0.7752835535161882
-0.0022218316796525084,-0.0022218316796525084,-0.8040423036789486
-0.0022218316796525084,-0.0022218316796525084,-0.7894654861855295
-0.0022218316796525084,-0.0022218316796525084,-0.7891121325313235
-0.0022218316796525084,-0.0022218316796525084,-0.8041640221522155
-0.0022218316796525084,-0.0022218316796525084,-0.7823507240253074
-0.0022218316796525084,-0.0022218316796525084,-0.8009148035277542
-0.0022218316796525084,-0.0022218316796525084,-0.798232173801553
-0.0022218316796525084,-0.0022218316796525084,-0.8028826062085392
-0.0022218316796525084,-0.0022218316796525084,-0.7981808469792666
-0.0022218316796525084,-0.0022218316796525084,-0.7864859718452011
-0.0022218316796525084,-0.0022218316796525084,-0.7883666781314909
-0.0022218316796525084,-0.0022218316796525084,-0.7886019265768527
-0.0022218316796525084,-0.0022218316796525084,-0.7639791038707029
-0.0022218316796525084,-0.0022218316796525084,-0.7960267839495987
-0.0022218316796525084,-0.0022218316796525084,-0.8049825387328242
-0.0022218316796525084,-0.0022218316796525084,-0.7819082381328184
-0.0022218316796525084,-0.0022218316796525084,-0.7860927983029657
-0.0022218316796525084,-0.0022218316796525084,-0.78976118646149
-0.0022218316796525084,-0.0022218316796525084,-0.7889641958385873
-0.0022218316796525084,-0.0022218316796525084,-0.7889303250298187
-0.0022218316796525084,-0.0022218316796525084,-0.8027980534418422
-0.0022218316796525084,-0.0022218316796525084,-0.7958781485496897
-0.0022218316796525084,-0.0022218316796525084,-0.7924855297355489
-0.0022218316796525084,-0.0022218316796525084,-0.7955386826802158
-0.0022218316796525084,-0.0022218316796525084,-0.789436577817191
-0.0022218316796525084,-0.0022218316796525084,-0.7965161308029833
-0.0022218316796525084,-0.0022218316796525084,-0.783325862721109
-0.0022218316796525084,-0.0022218316796525084,-0.7842670608556865
-0.0022218316796525084,-0.0022218316796525084,-0.7909848763771545
-0.0022218316796525084,-0.0022218316796525084,-0.7785335595674905
-0.0022218316796525084,-0.0022218316796525084,-0.7702817344327724
-0.0022218316796525084,-0.0022218316796525084,-0.7856816323219071
-0.0022218316796525084,-0.0022218316796525084,-0.7833097432166971
-0.0022218316796525084,-0.0022218316796525084,-0.7921674344347913
-0.0022218316796525084,-0.0022218316796525084,-0.8027337397773038
-0.0022218316796525084,-0.0022218316796525084,-0.7921358485520007
-0.0022218316796525084,-0.0022218316796525084,-0.7924529085197414
-0.0022218316796525084,-0.0022218316796525084,-0.784563487758865
-0.0022218316796525084,-0.0022218316796525084,-0.7963353237540001
-0.0022218316796525084,-0.0022218316796525084,-0.8000182136695049
-0.0022218316796525084,-0.0022218316796525084,-0.7891045734901951
-0.0022218316796525084,-0.0022218316796525084,-0.7934256093059009
-0.0022218316796525084,-0.0022218316796525084,-0.802473015219829
-0.0022218316796525084,-0.0022218316796525084,-0.7946966340832042
-0.0022218316796525084,-0.0022218316796525084,-0.79806252553672
-0.0022218316796525084,-0.0022218316796525084,-0.7977485361649854
-0.0022218316796525084,-0.0022218316796525084,-0.7896215248034184
-0.0022218316796525084,-0.0022218316796525084,-0.797093904795116
-0.0022218316796525084,-0.0022218316796525084,-0.8113131374012219
-0.0022218316796525084,-0.0022218316796525084,-0.797124039709326
-0.0022218316796525084,-0.0022218316796525084,-0.8021136302999607
-0.0022218316796525084,-0.0022218316796525084,-0.7932957889915504
-0.0022218316796525084,-0.0022218316796525084,-0.7983287326095168
-0.0022218316796525084,-0.0022218316796525084,-0.7856224371711067
-0.0022218316796525084,-0.0022218316796525084,-0.7984383607291152
-0.0022218316796525084,-0.0022218316796525084,-0.8023345728075915
-0.0022218316796525084,-0.0022218316796525084,-0.7996894395460803
-0.0022218316796525084,-0.0022218316796525084,-0.7940768722467348
-0.0022218316796525084,-0.0022218316796525084,-0.7871198945826119
-0.0022218316796525084,-0.0022218316796525084,-0.7833768943903308
-0.0022218316796525084,-0.0022218316796525084,-0.7938374463197784
-0.0022218316796525084,-0.0022218316796525084,-0.7841467873036163
-0.0022218316796525084,-0.0022218316796525084,-0.7881461924039521
-0.0022218316796525084,-0.0022218316796525084,-0.7882667828684706
-0.0022218316796525084,-0.0022218316796525084,-0.782566300539157
-0.0022218316796525084,-0.0022218316796525084,-0.7866214117439772
-0.0022218316796525084,-0.0022218316796525084,-0.7940660972314306
-0.0022218316796525084,-0.0022218316796525084,-0.7941703284498189
-0.0022218316796525084,-0.0022218316796525084,-0.7774068958179952
-0.0022218316796525084,-0.0022218316796525084,-0.8010396387292873
