stratum,target,carrier,carrier_level,null,n,injected_dR2,benchmark,achieved_dR2,p_correct_level,p_row_level_NAIVE,null_sd_correct,null_sd_row,sd_inflation,DETECTED
POOLED,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.002057,"D089 largest measured, ALIVE",0.0020570000000000913,0.0016638935108153079,0.0016638935108153079,0.00015466773441281131,4.891238224362627e-05,3.16213865115854,True
POOLED,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.001127,"D079 shot mix, DEAD",0.001127000000000029,0.0016638935108153079,0.0016638935108153079,0.00012490492746520949,4.8762556381439976e-05,2.5614926028109317,True
POOLED,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.0005,(intermediate),0.0005000000000000035,0.011647254575707155,0.0016638935108153079,0.00010324264851560764,4.8638056858371585e-05,2.1226721457281554,True
POOLED,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,0.000129,"D084 opp conversion, DEAD",0.00012899999999999866,0.16638935108153077,0.056572379367720464,8.823016288047887e-05,4.853319628876404e-05,1.8179343135680743,False
POOLED,y_pts,M01_opp_pf_pg,opp_team_season,N_ENTITY,13402,5e-05,(below every benchmark),4.999999999999921e-05,0.40266222961730447,0.24625623960066556,8.405933894230688e-05,4.8497039854724664e-05,1.7332880356019849,False
POOLED,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.002057,"D089 largest measured, ALIVE",0.0020570000000000037,1.0,0.0016638935108153079,0.00035493698381949606,5.331190024798324e-05,6.6577439965277385,False
POOLED,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.001127,"D079 shot mix, DEAD",0.0011270000000000008,1.0,0.0016638935108153079,0.0003007559428040311,5.3462112569975786e-05,5.625590317075032,False
POOLED,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.0005,(intermediate),0.0004999999999999994,1.0,0.0016638935108153079,0.0002494069154016618,5.3615900788697235e-05,4.651734126124003,False
POOLED,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,13402,0.000129,"D084 opp conversion, DEAD",0.0001289999999999999,1.0,0.064891846921797,0.0001991491034001235,5.377687244775862e-05,3.7032481499102854,False
POOLED,y_pts,F02_prior_fd_pm,player_season,N_CYCLIC,13402,5e-05,(below every benchmark),4.999999999999976e-05,1.0,0.24958402662229617,0.00017959968866633637,5.384221783187109e-05,3.3356666181017722,False
