catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives,null_improvement_q05,null_improvement_q50,null_improvement_q95,null_improvement_max,observed_improvement
9,travel_km_since_last,A,ft,,8687,3261,0.0,2.00339,1.99876,-0.00463,0.00463,-0.07659,+0.00300;-0.00386;-0.00221,+--,-,False,0.00498,False,haversine km venue-to-venue vs own previous played game; first game of season = 0 (schedule fact),0.08159000000000001,True,False,-0.0011035078919762852,-4.676107256962325e-08,0.0006014779817393943,0.0026852699765766985,0.004626668742276463
86,venue_elevation,H,fg3,,8687,3261,0.0,3.38333,3.37935,-0.00398,0.00398,0.09798,+0.00068;-0.00321;+0.00560,+-+,-,False,0.00995,False,home arena elevation in kft (schedule fact; max 2.03 kft Las Vegas — near-zero expected per catalog),0.08159000000000001,True,False,-0.0014658124126902148,-3.2054735373820975e-05,0.0006311747247709216,0.005335360387018984,0.003980186083354376
30,draft_pedigree_lowexp,C,fg3,,8687,3261,0.0765,3.38333,3.37986,-0.00347,0.00347,-0.06438,-0.00099;+0.00049;-0.00002,-+-,-,False,0.00498,False,"ln(40/pick) gated to experience<=2 (0 for vets, NaN for undrafted — no debut year in bios); undrafted pick=40",0.08159000000000001,True,False,-0.0017232142037970632,-2.0286177788042536e-05,0.001323016856269343,0.003142604200024657,0.0034710580169581284
7,b2b_x_age_pooled,C,np2,,8687,3261,0.0,1.61362,1.61113,-0.00249,0.00249,-0.05054,+0.00129;-0.00242;-0.00115,+--,-,False,0.00995,False,player-level B2B flag x (age-27); pooled product — the moderator-permutation version lives in the interactions protocol,0.08159000000000001,True,False,-0.0019493218386223863,-2.891186695064274e-05,0.0015085234317234175,0.0025305841871965384,0.0024866047092664267
30,draft_pedigree_lowexp,C,np2,,8687,3261,0.0765,1.61362,1.61148,-0.00213,0.00213,-0.06342,+0.00190;+0.00131;-0.00080,++-,-,False,0.00995,False,"ln(40/pick) gated to experience<=2 (0 for vets, NaN for undrafted — no debut year in bios); undrafted pick=40",0.08159000000000001,True,False,-0.0008612440759559358,-9.295402838227496e-06,0.0009140198784964526,0.0025164387725891135,0.0021324574972461097
31,weight_x_b2b_pooled,C,paint,,8687,3261,0.009,3.47994,3.47749,-0.00244,0.00244,0.08491,-0.00036;+0.00535;+0.00067,-++,-,False,0.01493,False,player-level B2B flag x (weight-170); pooled product; 15 in-window player-seasons lack weight (NaN),0.10202166666666668,False,False,-0.0038936462090660927,-0.0001261924189581709,0.0013466350881149642,0.0030163762207395806,0.002443822090825609
10,tip_split_local,A,fg3,,8687,3261,0.2215,3.38333,3.38057,-0.00276,0.00276,-0.08792,+0.00000;-0.00071;-0.00000,+--,-,False,0.0199,False,"run-1 #10 encoding with captured local tip times (2022+ only; uncaptured rows NaN, never bucketed)",0.11655714285714287,False,False,-0.0019669827702962104,-7.4865001125079544e-06,0.0017334126878080875,0.003991620566145215,0.002763147742486538
28,height_x_paint_vol,C,paint,,8687,3261,0.0,3.47994,3.47851,-0.00143,0.00143,0.36584,-0.00044;+0.01732;-0.00363,-+-,-,False,0.03483,False,(height-72.5) x rolling-10 std of paint rate (#37 machinery); pooled product — interactions protocol owns the moderator test,0.17850375,False,False,-0.0017446373632041157,-4.602307260404004e-05,0.0008305219613436534,0.004068700719225049,0.0014316459448591168
86,venue_elevation,H,paint,,8687,3261,0.0,3.47994,3.47893,-0.00101,0.00101,-0.03657,+0.00009;+0.00026;-0.00133,++-,-,False,0.0398,False,home arena elevation in kft (schedule fact; max 2.03 kft Las Vegas — near-zero expected per catalog),0.18131111111111112,False,False,-0.002025611399176097,-4.5185999662855636e-05,0.0007643494588964069,0.0026903804790610053,0.0010074034019642575
31,weight_x_b2b_pooled,C,ft,,8687,3261,0.009,2.00339,2.00262,-0.00077,0.00077,0.04378,+0.00331;-0.00304;+0.00030,+-+,-,False,0.07463,False,player-level B2B flag x (weight-170); pooled product; 15 in-window player-seasons lack weight (NaN),0.305983,False,False,-0.0018337805395552964,-9.998413168466058e-05,0.0009643987675475866,0.0048516912486396,0.0007699149652844461
