screen,has_live_verdict,verdict,name_keyed_ops,id_keyed_ops,frames_carrying_player_identity,max_rows_exposed_to_an_ambiguous_identity,rows_changed_under_correct_key,direction,adjudication,measured_directly,rank_score
player_program/future_research,False,,6,3,0,0,14,DROP,"MEASURED s09/s10/s11: F16/props carry NO player_id at source, so the name is the only available key. 62 of 11,229 priced rows (0.55%) fail normalized-exact resolution -- all one person, Cheyenne Parker / Cheyenne Parker-Tyus (204323) -- and are EXCLUDED. Upper bound <=14 fit-pool rows of 1,740 (0.80%). DIRECTION = DROP.",True,2
exploration/E1_I0048_shipped_roster_path,True,,15,11,2,0,0,NONE,"BY DESIGN: the name key IS this screen's treatment arm. Its published divergence (196/1940 windows) is the measurement, not a defect in it. Reproduced EXACT here (A9-A12).",True,0
player_program/ops_lane,False,,9,7,0,0,0,NONE,BY DESIGN: O14 fix_entity_resolution.py holds the PRE-REPAIR reproduction arm; repro_entity_resolution.py measures the name-binding failure it replaced. The shipped module keys on player_id (entity_resolution.py:238).,True,0
exploration/E0_I0006_usage_redistribution,False,kill,8,10,10,260,0,NONE,"measured directly, s04/s07",True,0
exploration/MEASURE_F1_m13_fitpool,True,,3,6,5,0,0,NONE,"MEASURED s09: dedup on [game_id,player_name,book,line] vs [game_id,player_id,book,line] gives 11,167 vs 11,167 survivors on the identical resolved row set. The fit pool itself is assembled on (game_id, player_id) with validate='one_to_one'.",True,0
exploration/E1_I0045_roster_currency,True,,1,8,5,1167,0,NONE,"measured directly, s04/s07",True,0
exploration/E1_I0035_availability_sum,True,,0,20,5,1167,0,NONE,no name-keyed operation,False,0
exploration/E1_I0030_home_advantage_accounting,True,,0,13,2,972,0,NONE,no name-keyed operation,False,0
exploration/E1_I0033_aggregation_level,True,,0,8,2,972,0,NONE,no name-keyed operation,False,0
exploration/E0_I0008_height_differential,False,,0,11,1,671,0,NONE,no name-keyed operation,False,0
exploration/E0_I0011_tendency_estimator,False,,0,15,1,671,0,NONE,no name-keyed operation,False,0
exploration/E0_I0029_freethrow_hurdle,True,,0,21,1,671,0,NONE,no name-keyed operation,False,0
exploration/E1_I0004_rim_finishing,True,,0,13,3,671,0,NONE,no name-keyed operation,False,0
exploration/E1_I0008_height_mismatch,True,,0,7,1,671,0,NONE,no name-keyed operation,False,0
exploration/E1_I0011_split_alpha,True,,0,13,1,671,0,NONE,no name-keyed operation,False,0
exploration/AUDIT_SCREEN_INTEGRITY,False,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/AUDIT_baseline_provenance,False,,0,1,0,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0003_rebound_interaction,False,,0,9,2,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0004_shot_location_allowance,False,Iterate,0,6,2,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0005_turnover_interaction,False,,0,2,1,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0009_additive_pressure,False,,0,2,1,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0010_positional_matchup,False,,0,17,4,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0012_layer3_noncollinear,True,,0,10,10,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0013_possession_volume,True,,0,1,0,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0014_residual_heterogeneity,True,,0,23,1,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0015_points_skill_decomposition,True,,0,7,1,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0016_efficiency_predictors,True,,0,10,1,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0017_shot_quality_efficiency,True,,0,21,1,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0019_availability_forecast,True,,0,45,2,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0024_reb_ast_characterisation,True,,0,12,1,0,0,NONE,no name-keyed operation,False,0
exploration/E0_I0028_degeneracy_sweep,True,,0,10,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0004_efficiency_transfer,True,,0,9,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0004_efficiency_transfer_v2,True,,0,6,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0004_fga_forecast,True,,0,26,2,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0004_shot_selection,True,,0,20,4,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0009_additive_pressure,True,,0,3,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0009_r2_rerun,True,,0,4,2,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0012_survivor_2021drop,True,,0,2,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0013_tempo_redundancy,True,,0,8,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0018_teammate_volume_channel,True,,0,11,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0020_coldstart_tiering,True,,0,38,3,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0021_heterogeneity_diagnostic,True,,0,25,2,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0022_optimal_simple_estimator,True,,0,7,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0023_usage_defence_interaction,True,,0,9,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0025_threshold_vs_refit,True,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0026_detection_floor,True,,0,5,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0027_reference_ladder,True,,0,3,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0031_rapm_as_prior,True,,0,30,2,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0032_aggregate_stack,True,,0,25,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0034_redistribution,True,,0,11,2,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0036_level_artefact_sweep,True,,0,2,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0037_mde_audit,True,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0038_within_entity_null_audit,True,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0039_stacking,True,,0,3,3,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0040_audit_extension,True,,0,2,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0041_tstat_family_audit,True,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0042_redistribution_replication,True,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0043_opponent_defence,True,,0,3,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0044_broken_nulls_and_composites,True,,0,2,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0046_allocation,True,,0,12,2,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0047_ceiling_validity,True,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0049_benchmark_constants,True,,0,3,1,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0050_queue_typeI,False,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0051_constraint_sweep,True,,0,0,0,0,0,NONE,no name-keyed operation,False,0
exploration/E1_I0053_minutes,False,,0,0,1,0,0,NONE,no name-keyed operation,False,0
exploration/IDEATION_QUEUE,False,,0,4,0,0,0,NONE,no name-keyed operation,False,0
exploration/MANIFEST_REMEDIATION,False,,0,6,0,0,0,NONE,no name-keyed operation,False,0
exploration/_screen_kit,False,,0,3,0,0,0,NONE,no name-keyed operation,False,0
player_program/data_lane,False,,0,15,0,0,0,NONE,no name-keyed operation,False,0
player_program/discovery_wave_1,False,,0,3,0,0,0,NONE,no name-keyed operation,False,0
player_program/event_contract_v1,False,,0,0,0,0,0,NONE,no name-keyed operation,False,0
player_program/fits_v1,False,,0,0,1,0,0,NONE,no name-keyed operation,False,0
player_program/p3_downstream_v1,False,,0,0,0,0,0,NONE,no name-keyed operation,False,0
player_program/possessions_v1,False,,0,0,1,0,0,NONE,no name-keyed operation,False,0
player_program/possessions_v2,False,,0,0,1,0,0,NONE,no name-keyed operation,False,0
player_program/preserved_uncommitted_d69aa02,False,,0,0,0,0,0,NONE,no name-keyed operation,False,0
player_program/projected_exposure_v1,False,,0,0,1,0,0,NONE,no name-keyed operation,False,0
player_program/stage2a,False,,0,0,0,0,0,NONE,no name-keyed operation,False,0
player_program/stage2b,False,,0,2,0,0,0,NONE,no name-keyed operation,False,0
player_program/stage3_score,False,,0,0,0,0,0,NONE,no name-keyed operation,False,0
player_program/turnover_p1_v1,False,,0,0,3,0,0,NONE,no name-keyed operation,False,0
player_program/turnover_p2_v1,False,,0,0,3,0,0,NONE,no name-keyed operation,False,0
player_program/turnover_targets_v1,False,,0,0,1,0,0,NONE,no name-keyed operation,False,0
