anchor,quantity,expected,reproduced,abs_err,status
A1,"master_player rows, all seasons",34199,33712,-487.0,MISMATCH
A2,"null player_id rows, all seasons",0,0,0.0,EXACT
A3,player_id dtype is Int64,Int64,Int64,,EXACT
A4,"distinct player_id with >1 player_name, ALL seasons",13,12,-1.0,MISMATCH
A5,"distinct player_name with >1 player_id, ALL seasons",0,0,0.0,EXACT
A6,"distinct player_id with >1 player_name, 2021-2024",12,12,0.0,EXACT
A7,"distinct player_name with >1 player_id, 2021-2024",0,0,0.0,EXACT
A8,ambiguous ids 2021-2024 == declared allowlist,True,True,0.0,EXACT
A9,"roster windows simulated, 2021-2024",1940,1940,0.0,EXACT
A10,"windows where the two keys differ, 2021-2024",196,196,0.0,EXACT
A11,divergence rate 2021-2024 (%),10.1,10.1,0.0,EXACT
A12,"windows with NEGATIVE delta (drop mode), 2021-2024",0,0,0.0,EXACT
