screen,file,line,operation,method,key_used,key_class,stable_id_available,rows_diverging_2021_2024,direction,evidence
exploration/E1_I0045_roster_currency,exploration/E1_I0045_roster_currency/scripts/s04_coverage_and_exposure.py,88,GROUPBY,groupby,player_name,PLAYER_NAME_KEYED,YES,0,NONE,10 name-groups == 10 id-groups; removal set holds ONE spelling per identity (exhaustive: head(20) does not bind on 10 groups)
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s02_shipped.py,80,DEDUP,drop_duplicates,team|player,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s02_shipped.py,91,UNIQUE,unique,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s03_damage.py,108,UNIQUE,unique,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s03_damage.py,112,GROUPBY,groupby,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s03_damage.py,152,UNIQUE,unique,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s03_damage.py,171,UNIQUE,unique,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s05_name_key.py,49,GROUPBY,groupby,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s05_name_key.py,71,UNIQUE,unique,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s05_name_key.py,74,GROUPBY,groupby,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/E1_I0048_shipped_roster_path,exploration/E1_I0048_shipped_roster_path/scripts/s06_postrepair.py,64,DEDUP,drop_duplicates,team|player,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,"the name key is this screen's treatment arm; its published divergence (196/1940 windows, 10.10%) reproduced EXACT here as anchors A9-A12"
exploration/MEASURE_F1_m13_fitpool,exploration/MEASURE_F1_m13_fitpool/m14_lib.py,267,DEDUP,duplicated,game_id|player_name|bookmaker_key|line,PLAYER_NAME_KEYED,YES,0,NONE,"s09: 11,167 vs 11,167 survivors on the identical resolved row set"
exploration/MEASURE_F1_m13_fitpool,exploration/MEASURE_F1_m13_fitpool/m14_lib.py,271,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,0,NONE,"s09: 11,167 vs 11,167 survivors on the identical resolved row set"
exploration/MEASURE_F1_m13_fitpool,exploration/MEASURE_F1_m13_fitpool/m14_lib.py,272,LOOKUP,map,norm_name,PLAYER_NAME_KEYED,YES,0,NONE,"s09: 11,167 vs 11,167 survivors on the identical resolved row set"
player_program/future_research,player_program/future_research/F16_PLAYER_PROPS/measure_props_evidence.py,130,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,62,DROP,"s09/s10: props feed carries no player_id; 62 of 11,229 priced rows (0.5521%) unresolved and excluded, all player_id 204323"
player_program/future_research,player_program/future_research/F16_PLAYER_PROPS/measure_props_evidence.py,135,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,62,DROP,"s09/s10: props feed carries no player_id; 62 of 11,229 priced rows (0.5521%) unresolved and excluded, all player_id 204323"
player_program/future_research,player_program/future_research/F16_PLAYER_PROPS/measure_props_evidence.py,168,LOOKUP,map,player_name,PLAYER_NAME_KEYED,YES,62,DROP,"s09/s10: props feed carries no player_id; 62 of 11,229 priced rows (0.5521%) unresolved and excluded, all player_id 204323"
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/fix_entity_resolution.py,93,UNIQUE,unique,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/fix_entity_resolution.py,110,UNIQUE,unique,player_name,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
player_program/ops_lane,player_program/ops_lane/O14_OPS_ENTITY_RESOLUTION/repro_entity_resolution.py,182,DEDUP,drop_duplicates,team|player,PLAYER_NAME_KEYED,YES,0,BY_DESIGN,O14 pre-repair reproduction arm; the shipped module keys on player_id (entity_resolution.py:238)
