component,claim,published,published_basis,reproduced,reproduced_basis,delta,published_sd,reproduced_sd,commensurable,verdict,n,p,null_mean,null_sd,p_row_NAIVE,inflation,n_clusters,sse_reduction,sst_scored_stratum,sst_whole_frame,dr2_on_whole_frame_sst,implied_sst_ratio
C1_FALLBACK_ROUTE,D092/D102: the champion emits a CONSTANT on fallback rows (pts),8.704,"D092, mean of the champion's forecast on the tier",8.704534767630784,"947 fallback_level==2 rows, common set",0.0005347676307838611,0.013,0.013066567564944264,YES,"REPRODUCED (mean delta +0.0005, sd 0.0131 vs published 0.013)",,,,,,,,,,,,
C1_FALLBACK_ROUTE,D092/D102: the champion emits a CONSTANT on fallback rows (minutes),21.62,"D092, mean of the champion's forecast on the tier",21.622788084448295,"947 fallback_level==2 rows, common set",0.00278808444829437,0.09,0.09079554751086152,YES,"REPRODUCED (mean delta +0.0028, sd 0.0908 vs published 0.090)",,,,,,,,,,,,
C1_FALLBACK_ROUTE,D102: routing fallback_level==2 gains +2.8169% pooled MAE skill (pts),2.8169,"D102, pooled MAE skill against D081's OWN reference column, v15 arm",3.584909047589402,"pooled MAE skill against R1_PLAYER_EXPAND, common set n=13808",,,,NO -- different reference column (D5) and a different arm,RECONSTRUCTED NOT REPRODUCED: +3.5849% here vs +2.8169% published; the reference column differs and D101 forbids rescaling across bases,,,,,,,,,,,,
C1_FALLBACK_ROUTE,D102: routing fallback_level==2 gains +4.9885% pooled MAE skill (minutes),4.9885,"D102, pooled MAE skill against D081's OWN reference column, v15 arm",6.198735265069965,"pooled MAE skill against R1_PLAYER_EXPAND, common set n=13808",,,,NO -- different reference column (D5) and a different arm,RECONSTRUCTED NOT REPRODUCED: +6.1987% here vs +4.9885% published; the reference column differs and D101 forbids rescaling across bases,,,,,,,,,,,,
C1_FALLBACK_ROUTE,D102: routing fallback_level==2 gains +4.0358% pooled MAE skill (fga),4.0358,"D102, pooled MAE skill against D081's OWN reference column, v15 arm",5.135865110845628,"pooled MAE skill against R1_PLAYER_EXPAND, common set n=13808",,,,NO -- different reference column (D5) and a different arm,RECONSTRUCTED NOT REPRODUCED: +5.1359% here vs +4.0358% published; the reference column differs and D101 forbids rescaling across bases,,,,,,,,,,,,
C3_PER_TARGET_HALFLIFE,D094: the selected EWMA half-life for pts is 8.0,8.0,"D094's 15,048-cell grid, selected on 2022-2023, evaluated on 2023-2024",8.0,walk-forward MAE argmin over D094's own grid on the common universe,0.0,,,"YES -- same grid, same estimator engine",REPRODUCED,,,,,,,,,,,,
C3_PER_TARGET_HALFLIFE,D094: the selected EWMA half-life for minutes is 2.0,2.0,"D094's 15,048-cell grid, selected on 2022-2023, evaluated on 2023-2024",2.0,walk-forward MAE argmin over D094's own grid on the common universe,0.0,,,"YES -- same grid, same estimator engine",REPRODUCED,,,,,,,,,,,,
C3_PER_TARGET_HALFLIFE,D094: the selected EWMA half-life for fga is 5.0,5.0,"D094's 15,048-cell grid, selected on 2022-2023, evaluated on 2023-2024",3.0,walk-forward MAE argmin over D094's own grid on the common universe,-2.0,,,"YES -- same grid, same estimator engine",DIFFERS: argmin 3.0 here vs 5.0 published,,,,,,,,,,,,
C3_PER_TARGET_HALFLIFE,D094: the selected EWMA half-life for ppm is 40.0,40.0,"D094's 15,048-cell grid, selected on 2022-2023, evaluated on 2023-2024",40.0,walk-forward MAE argmin over D094's own grid on the common universe,0.0,,,"YES -- same grid, same estimator engine",REPRODUCED,,,,,,,,,,,,
C3_PER_TARGET_HALFLIFE,D094: one window across targets is measurably wrong -- the selected half-lives span 20x,20.0,D094 (minutes 2 ... ppm 40),20.0,ratio of this screen's own argmins,0.0,,,YES,"argmins here: {'pts': 8.0, 'minutes': 2.0, 'fga': 3.0, 'ppm': 40.0}",,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: shrink toward the player's OWN PRIOR SEASON beats shrinking toward the LEAGUE (pts),1.0,D094: the league target was WORST everywhere (qualitative),0.054798032875379654,"MAE(league-shrunk) - MAE(prior-season-shrunk), common universe",,,,DIRECTIONAL ONLY,"REPRODUCED -- own prior season wins (own-prior-season MAE 4.0635, league 4.1183, unshrunk 4.1198)",,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: k=0.5 for pts,0.5,D094's grid,-0.05638044940565212,MAE(shrunk at k) - MAE(unshrunk); positive means shrinkage HURTS,,,,DIRECTIONAL ONLY,shrinkage effect -0.0564 MAE,,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: shrink toward the player's OWN PRIOR SEASON beats shrinking toward the LEAGUE (minutes),1.0,D094: the league target was WORST everywhere (qualitative),0.15892776648890283,"MAE(league-shrunk) - MAE(prior-season-shrunk), common universe",,,,DIRECTIONAL ONLY,"REPRODUCED -- own prior season wins (own-prior-season MAE 4.8607, league 5.0196, unshrunk 4.8664)",,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: k=0 for MINUTES because shrinkage strictly hurts,0.0,D094's grid,-0.00573938713572808,MAE(shrunk at k) - MAE(unshrunk); positive means shrinkage HURTS,,,,DIRECTIONAL ONLY,shrinkage effect -0.0057 MAE,,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: shrink toward the player's OWN PRIOR SEASON beats shrinking toward the LEAGUE (fga),1.0,D094: the league target was WORST everywhere (qualitative),0.05199769241589047,"MAE(league-shrunk) - MAE(prior-season-shrunk), common universe",,,,DIRECTIONAL ONLY,"REPRODUCED -- own prior season wins (own-prior-season MAE 2.5337, league 2.5857, unshrunk 2.5739)",,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: k=0.5 for fga,0.5,D094's grid,-0.040207766721517935,MAE(shrunk at k) - MAE(unshrunk); positive means shrinkage HURTS,,,,DIRECTIONAL ONLY,shrinkage effect -0.0402 MAE,,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: shrink toward the player's OWN PRIOR SEASON beats shrinking toward the LEAGUE (ppm),1.0,D094: the league target was WORST everywhere (qualitative),0.0014204111613086712,"MAE(league-shrunk) - MAE(prior-season-shrunk), common universe",,,,DIRECTIONAL ONLY,"REPRODUCED -- own prior season wins (own-prior-season MAE 0.1794, league 0.1808, unshrunk 0.1827)",,,,,,,,,,,,
C4_SHRINK_OWN_PRIOR_SEASON,D094: k=2.0 for ppm,2.0,D094's grid,-0.003340876768092804,MAE(shrunk at k) - MAE(unshrunk); positive means shrinkage HURTS,,,,DIRECTIONAL ONLY,shrinkage effect -0.0033 MAE,,,,,,,,,,,,
C5_TEAMMATE_VOLUME_PRIOR_ONLY,"D089: walk-forward points dR2 on the decision stratum vs B_COMPLETE, n=4,517",0.0023492235735382717,"D089/D099 own frame (E1_I0018), decision stratum, base B_COMPLETE",0.006657756712947105,"the SAME frame, base and stratum, n=4517",0.004308533139408833,,,YES,"dR2 +0.0066578 vs published +0.0023492 (delta +0.0043085); cluster p 0.0350. SSE reduction 1727.3520; on the stratum SST that is +0.0066578, on the WHOLE-FRAME SST +0.0020771",4517.0,0.03499125218695326,1.410137712451923e-05,0.0031291691499880526,0.01474631342164459,1.1356864033482907,254.0,1727.351963506604,259449.54704449855,831615.7624562348,0.0020771034430669645,2.834024308260958
C6_OPP_DEFENCE_SELECTIVE,"D099: points dR2 on the full decision stratum, common denominator, n=4,514",0.003335,"D089/D099 own frame (E1_I0018), decision stratum, base B_COMPLETE",0.00343219440453435,"the SAME frame, base and stratum, n=4514",9.719440453435013e-05,,,YES,"dR2 +0.0034322 vs published +0.0033350 (delta +0.0000972); cluster p 0.0050. SSE reduction 889.6711; on the stratum SST that is +0.0034322, on the WHOLE-FRAME SST +0.0010698",4514.0,0.0049987503124218945,-1.0851536846476126e-05,0.0012515389736084694,0.0004998750312421895,1.3049976810143307,254.0,889.6710588901478,259213.48094816128,831615.7624562348,0.0010698102405640349,1.0291437494855593
