anchor,what,reproduced,recorded,abs_diff,tol,PASS,source
A1a,D104 regular-season game count 2021-2024,888.0,888.0,0.0,0.0,True,master_team
A1b,D104 home advantage on those 888 games,0.96509,0.96509,0.0,5e-07,True,master_team
A2a,E0_I0016 screen_frame row count,14852.0,14852.0,0.0,0.0,True,parquet
A2b,E1_I0018 screen_frame row count,14852.0,14852.0,0.0,0.0,True,parquet
A2c,inner merge row count,14852.0,14852.0,0.0,0.0,True,inner merge
A3a,E1_I0043 DECISION stratum rows,5673.0,5673.0,0.0,0.0,True,E1_I0043/DECISION_STRATUM.csv
A3b,E1_I0043 DECISION distinct players,149.0,149.0,0.0,0.0,True,same
A3c,E1_I0043 DECISION distinct games,708.0,708.0,0.0,0.0,True,same
A3d,E1_I0043 DECISION rows in 2023-24,3167.0,3167.0,0.0,0.0,True,same
A4a,D085 A10_opp_defrtg -> y_ppm dR2 over refB (RECOMPUTED),0.0014430974149688691,0.0014430974149688,6.917209860457518e-17,5e-13,True,E0_I0016/screen_results.csv
A4b,  its n,14852.0,14852.0,0.0,0.0,True,same
A4c,D085 same cell over refA (RECOMPUTED),0.0015087657892968237,0.0015087657892969,7.632783294297951e-17,5e-13,True,same
A5a,E1_I0018 rows located in this screen's appeared universe,14852.0,14852.0,0.0,0.0,True,join
A5b,n_prior exact matches,14852.0,14852.0,0.0,0.0,True,join
A5c,prior5_minutes max|diff| where both present,1.4210854715202004e-14,0.0,1.4210854715202004e-14,1e-12,True,join
A5d,minutes max|diff|,0.0,0.0,0.0,1e-12,True,join
A5e,pts max|diff|,0.0,0.0,0.0,1e-12,True,join
A6a,"composition closure: nonzero points diffs over 1,776 team-games",0.0,0.0,0.0,0.0,True,master_team identity
A6b,composition closure: nonzero attempts diffs,0.0,0.0,0.0,0.0,True,same
A6c,E1_I0033 realised roster size (2 dp),9.41,9.41,0.0,0.011,True,E1_I0033 WHICH_LEVEL_WINS.md 2(b)
