screen,candidate,components_named_in_expr,component_levels,components_without_a_recorded_level,null_scheme,null_permutes_or_clusters_at,null_kind,composite_verdict,verdict_reason,evidence
E0_I0014_residual_heterogeneity,pl_prior_season_games,"[""pl_career_games_prior"", ""pl_games_prior""]","[""player-season block, measured vsb=0.9298"", ""player-season block, measured vsb=0.1732""]",[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",permutation_nulls.npz + screen_results
E0_I0014_residual_heterogeneity,pl_min_cv5,"[""pl_min_sd5"", ""pl_min_mean5""]","[""player-season block, measured vsb=0.2302"", ""player-season block, measured vsb=0.7692""]",[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",permutation_nulls.npz + screen_results
E0_I0014_residual_heterogeneity,pl_teamgames_since_appear,"[""tm_game_idx"", ""_last_ap_idx""]","[""team-season block, measured vsb=0.0300""]","[""_last_ap_idx""]","BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of _last_ap_idx is not on this screen's own record and was not invented here",permutation_nulls.npz + screen_results
E0_I0014_residual_heterogeneity,tm_rest_days,"[""gdate""]",[],"[""gdate""]","BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of gdate is not on this screen's own record and was not invented here",screen source
E0_I0014_residual_heterogeneity,tm_rest_diff,"[""tm_rest_days"", ""opp_rest_days""]","[""team-season block, measured vsb=0.0031"", ""team-season block, measured vsb=0.0103""]",[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",permutation_nulls.npz + screen_results
E0_I0014_residual_heterogeneity,pts__pred_width,"[""pts__pred_q95"", ""pts__pred_q05""]",[],"[""pts__pred_q05"", ""pts__pred_q95""]","BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of pts__pred_q05, pts__pred_q95 is not on this screen's own record and was not invented here",screen source
E0_I0014_residual_heterogeneity,pts__pred_iqr,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0014_residual_heterogeneity,pts__pred_cv,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0014_residual_heterogeneity,minutes__pred_width,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0014_residual_heterogeneity,minutes__pred_iqr,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0014_residual_heterogeneity,minutes__pred_cv,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0014_residual_heterogeneity,fga__pred_width,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0014_residual_heterogeneity,fga__pred_iqr,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0014_residual_heterogeneity,fga__pred_cv,[],[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,PERMUTATION_OF_COLUMN,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source
E0_I0016_efficiency_predictors,A01_opp_efg_allowed,"[""opp_fgm"", ""opp_fg3m"", ""opp_fga""]",[],"[""opp_fg3m"", ""opp_fga"", ""opp_fgm""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of opp_fg3m, opp_fga, opp_fgm is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,A02_opp_ts_allowed,"[""opp_pts"", ""opp_fga"", ""opp_fta""]",[],"[""opp_fga"", ""opp_fta"", ""opp_pts""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of opp_fga, opp_fta, opp_pts is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,B04_matchup_ftrate,"[""B01_pl_ftrate"", ""A07_opp_ftrate_allowed""]",[],"[""A07_opp_ftrate_allowed"", ""B01_pl_ftrate""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A07_opp_ftrate_allowed, B01_pl_ftrate is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,B05_matchup_fouldraw,"[""B03_pl_fouls_drawn_per36"", ""A08_opp_pf""]",[],"[""A08_opp_pf"", ""B03_pl_fouls_drawn_per36""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of A08_opp_pf, B03_pl_fouls_drawn_per36 is not on this screen's own record and was not invented here",screen source
E0_I0016_efficiency_predictors,D03_pace_sum,"[""D01_tm_poss_per40"", ""D02_opp_poss_per40""]",[],"[""D01_tm_poss_per40"", ""D02_opp_poss_per40""]",entity swap within season at the candidate's declared ENTITY,declared entity,PERMUTATION_OF_COLUMN,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of D01_tm_poss_per40, D02_opp_poss_per40 is not on this screen's own record and was not invented here",screen source
