game_id,season,game_date,player_name,minutes,pts,pn,gid,line,over_price,under_price,lead_h
1022400001,2024,2024-05-14,Courtney Vandersloot,27.65,6,courtneyvandersloot,1022400001,9.5,-132.0,100.0,1.1558333333333333
1022400001,2024,2024-05-14,Betnijah Laney-Hamilton,33.03333333333333,20,betnijahlaneyhamilton,1022400001,13.5,105.0,-139.0,1.1558333333333333
1022400001,2024,2024-05-14,Breanna Stewart,31.533333333333335,8,breannastewart,1022400001,21.5,-115.0,-115.0,1.1558333333333333
1022400001,2024,2024-05-14,Jonquel Jones,32.8,25,jonqueljones,1022400001,12.5,-118.0,-112.0,1.1558333333333333
1022400001,2024,2024-05-14,Sabrina Ionescu,33.56666666666667,15,sabrinaionescu,1022400001,17.5,105.0,-135.0,1.1558333333333333
1022400001,2024,2024-05-14,Brittney Sykes,29.633333333333333,14,brittneysykes,1022400001,15.5,-148.0,110.0,1.1558333333333333
1022400001,2024,2024-05-14,Ariel Atkins,34.266666666666666,20,arielatkins,1022400001,14.5,110.0,-140.0,1.1558333333333333
1022400001,2024,2024-05-14,Shakira Austin,19.583333333333332,13,shakiraaustin,1022400001,10.5,115.0,-155.0,1.1558333333333333
1022400002,2024,2024-05-14,DeWanna Bonner,28.65,20,dewannabonner,1022400002,17.5,-115.0,-115.0,1.1558333333333333
1022400002,2024,2024-05-14,Alyssa Thomas,35.9,13,alyssathomas,1022400002,14.5,-121.0,-110.0,1.1558333333333333
1022400002,2024,2024-05-14,DiJonai Carrington,30.583333333333332,16,dijonaicarrington,1022400002,8.5,-159.0,120.0,1.1558333333333333
1022400002,2024,2024-05-14,NaLyssa Smith,26.883333333333333,13,nalyssasmith,1022400002,17.5,100.0,-134.0,1.1558333333333333
1022400002,2024,2024-05-14,Aliyah Boston,29.3,4,aliyahboston,1022400002,14.5,-121.0,-110.0,1.1558333333333333
1022400002,2024,2024-05-14,Caitlin Clark,32.45,20,caitlinclark,1022400002,20.5,100.0,-134.0,1.1558333333333333
1022400003,2024,2024-05-14,Diana Taurasi,28.366666666666667,23,dianataurasi,1022400003,15.5,-115.0,-115.0,1.1558333333333333
1022400003,2024,2024-05-14,Natasha Cloud,33.6,14,natashacloud,1022400003,10.5,-130.0,100.0,1.1558333333333333
1022400003,2024,2024-05-14,Kahleah Copper,29.933333333333334,19,kahleahcopper,1022400003,17.5,-130.0,100.0,1.1558333333333333
1022400003,2024,2024-05-14,Sophie Cunningham,25.966666666666665,6,sophiecunningham,1022400003,10.5,100.0,-132.0,1.1558333333333333
1022400003,2024,2024-05-14,Kelsey Plum,37.86666666666667,19,kelseyplum,1022400003,19.5,-115.0,-115.0,1.1558333333333333
1022400003,2024,2024-05-14,A'ja Wilson,34.65,30,ajawilson,1022400003,23.5,-115.0,-115.0,1.1558333333333333
1022400003,2024,2024-05-14,Jackie Young,36.083333333333336,23,jackieyoung,1022400003,17.5,-130.0,100.0,1.1558333333333333
1022400004,2024,2024-05-14,Kayla McBride,30.516666666666666,9,kaylamcbride,1022400004,14.5,-110.0,-120.0,1.1558333333333333
1022400004,2024,2024-05-14,Courtney Williams,28.516666666666666,14,courtneywilliams,1022400004,10.5,-115.0,-115.0,1.1558333333333333
1022400004,2024,2024-05-14,Napheesa Collier,30.7,20,napheesacollier,1022400004,21.5,-105.0,-125.0,1.1558333333333333
1022400004,2024,2024-05-14,Diamond Miller,12.85,2,diamondmiller,1022400004,12.5,-106.0,-125.0,1.1558333333333333
1022400004,2024,2024-05-14,Nneka Ogwumike,30.2,20,nnekaogwumike,1022400004,18.5,100.0,-130.0,1.1558333333333333
1022400004,2024,2024-05-14,Skylar Diggins-Smith,30.866666666666667,10,skylardigginssmith,1022400004,15.5,-125.0,-107.0,1.1558333333333333
1022400004,2024,2024-05-14,Jewell Loyd,32.55,10,jewellloyd,1022400004,21.5,100.0,-132.0,1.1558333333333333
1022400004,2024,2024-05-14,Ezi Magbegor,31.3,15,ezimagbegor,1022400004,12.5,-115.0,-115.0,1.1558333333333333
1022400005,2024,2024-05-15,Natasha Howard,36.333333333333336,15,natashahoward,1022400005,16.5,-115.0,-115.0,1.1558333333333333
1022400005,2024,2024-05-15,Teaira McCowan,28.533333333333335,18,teairamccowan,1022400005,12.5,-105.0,-125.0,1.1558333333333333
1022400005,2024,2024-05-15,Arike Ogunbowale,38.25,25,arikeogunbowale,1022400005,21.5,-121.0,-110.0,1.1558333333333333
1022400005,2024,2024-05-15,Diamond DeShields,18.283333333333335,14,diamonddeshields,1022400005,11.5,-106.0,-125.0,1.1558333333333333
1022400005,2024,2024-05-15,Marina Mabrey,33.583333333333336,19,marinamabrey,1022400005,16.5,-139.0,105.0,1.1558333333333333
1022400005,2024,2024-05-15,Dana Evans,30.183333333333334,10,danaevans,1022400005,11.5,-121.0,-110.0,1.1558333333333333
1022400005,2024,2024-05-15,Angel Reese,26.466666666666665,12,angelreese,1022400005,11.5,105.0,-139.0,1.1558333333333333
