source_path,what_it_actually_is,rows_or_files,earliest,latest,cadence,point_in_time_provable,read_by_features_lib,read_by_any_E0_E1_screen,read_by_daily_forecast,verdict,evidence
data/props_capture/historical/master_props_historical.csv,"Single closing-ish player POINTS prop line per player-game (one snapshot per event) with book, line, over/under price and both snapshot_requested_utc and snapshot_returned_utc",36946 rows / 784 games / 8 books,2024-05-14 (commence),2026-07-31 (commence),"one snapshot per event, taken a median 1.16 h before tip (min 0.57 h, max 3.24 h)",YES — snapshot_returned_utc is strictly before commence_time on 100% of rows,NO,"NO — named once in E1_I0013 FINDINGS.json as a manifest declaration, never read as data",NO,CAPTURED_AND_UNUSED — HIGHEST VALUE,"scripts/s15_props_hist.py, s16_props_allyears.py: 262/262 2024 games, 310/310 2025 games, 212/235 2026 games; joins to 1972 / 2410 / 1984 played player-game rows"
data/drive_masters/master_odds.csv,"Timestamped game spread odds per book with snapshot / previous / next timestamps",20004 rows,2022-05-21 (commence),2025-07-04 (commence),"5-minute snapshot grid (previous/next timestamps 10 min apart)",YES — odds_snapshot_timestamp precedes commence on the sampled rows,NO,"NO — and it CANNOT be: the file does not exist inside the worktree the screens run in (E1_I0013 step0_env_audit.json records master_odds_hits: [])",NO,CAPTURED_AND_UNUSED — covers 3 of 4 exploration seasons,"scripts/s14_historical.py; directory diff in NOTES.md §1"
data/injury_official_live/status_transitions.csv,"Interval-censored point-in-time official-report designation transitions with t_lower/t_upper UTC bounds, poll interval and censor type",15145 rows,2026-08-07T03:05Z,2026-08-17T18:13Z,PT15M polling against the league quarter-hour publish grid,"YES — the strongest provenance in the repository (T0 directly-witnessed, retrieval_ts_utc separate from provider_publication_ts_et)",NO,NO,NO,CAPTURED_AND_UNUSED — but only 11 days deep and only 1 game day overlaps observed outcomes today,"scripts/s01_injury_timeline.py; 99.0% of the 15145 transitions are ->REMOVED_FROM_REPORT roll-off, only ~150 are genuine designation changes"
data/injury_official_live/injury_snapshots.csv,"Per-player status rows from each captured official PDF with document Last-Modified, provider publication ts, retrieval ts and payload hash",6178 rows / 475 raw PDFs,2026-08-07,2026-08-17,PT15M,YES,NO,NO,NO,CAPTURED_AND_UNUSED,scripts/s01_injury_timeline.py
data/injury_capture/injury_log.csv,"Flattened official + ESPN designations (Out/Questionable/Probable/Doubtful/Available) keyed to report_date and game_date",2401 rows / 157 captures,2026-07-30T15:49Z,2026-08-17T18:00Z,"hourly on game days (median gap 60 min); 4-14 captures/day; one 6-day outage 2026-08-09 to 2026-08-15",YES — capture_utc is a witnessed retrieval time,NO,"NO — named in E1_I0034 redist_base.py docstring only, to explain why it is NOT used",YES — as an exclusion rule only,USED IN PRODUCTION ONLY / NEVER USED IN RESEARCH,"scripts/s08,s12; daily_forecast.py:612-694 — designation 'Out' excludes the player, all other designations annotate and feed nothing"
data/ref_assignments/assignments_log.csv,"Pre-game officiating crew assignments with official_name, official_num, crew_role and game_id",210 rows / 70 games,2026-07-30T17:08Z,2026-08-17T14:00Z,daily ~10:00 local,YES,NO,NO,YES — supplies official game_ids and crews,USED IN PRODUCTION ONLY / NEVER USED IN RESEARCH,"features/common.py:846 crew() builds crew traits from data/officials_master.csv (retrospective, box-score derived) instead"
data/odds_capture/capture_log.csv,"Flat row-per-outcome tape of h2h/spreads/totals across 11 books",44658 rows / 153 snapshots / 83 games,2026-07-30T15:01Z,2026-08-17T18:00Z,hourly,YES — snapshot_utc witnessed,NO,NO,YES — via the live_*.json siblings for slate discovery and market lines,CAPTURED_AND_UNUSED IN RESEARCH,scripts/s02_odds_timeline.py
data/odds_capture/historical/hist_*.json,"The Odds API historical snapshots, 2 per day (15Z and 22Z), h2h/spreads/totals, 8 books",292 files / 146 dates,2025-07-05,2026-07-29,twice daily,YES,NO,NO,NO,CAPTURED_AND_UNUSED — confirmation-partition game odds,scripts/s14_historical.py
data/market_snapshots/snapshots.csv,"Player-prop and game snapshots on a declared obligation ladder (T-4h etc) with novig_prob, vendor_ts, retrieval_ts, staleness bound and payload hash",15453 rows,2026-08-06T18:52Z,2026-08-17T17:52Z,"ladder-driven; poll_log.csv records 188 polls with labels T-4h etc",YES — and it is the only market file carrying an explicit max_staleness_bound,NO,NO,NO,CAPTURED_AND_UNUSED,scripts/s13_source_census.py
data/sxbet_capture/*.jsonl,"Betting-exchange tape: order books, executed trades, best line, market and roster events",114912 trades / 57017 orderbook / 40145 best_line / 2223 markets lines (~403 MB),2026-08-07,2026-08-17,continuous,"NOT VERIFIED — lines sampled at the head failed JSON parse (truncated); I did not establish record-level timestamp semantics",NO,NO,NO,CAPTURED_AND_UNUSED — provenance UNVERIFIED by this audit,scripts/s13_source_census.py
