stratum,eval_rows,response,increment,dr2,why
DECISION,T3_high,ppm,L2_over_L1,0.004465577022782875,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
DECISION,T3_high,ppm,L3_over_L1,0.0061506835338027525,TIER STEP over one pooled defence coefficient -- the step's own added value
DECISION,T3_high,ppm,L3_over_L2,0.0016851065110198781,TIER STEP over the LINEAR interaction
DECISION,T3_high,ppm,L4_over_L3,0.0342589245337328,full tier refit over the pooled tier step -- what the refit adds beyond a step
DECISION,T3_high,points,L2_over_L1,0.005282400452327937,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
DECISION,T3_high,points,L3_over_L1,0.004058693505415102,TIER STEP over one pooled defence coefficient -- the step's own added value
DECISION,T3_high,points,L3_over_L2,-0.0012237069469128352,TIER STEP over the LINEAR interaction
DECISION,T3_high,points,L4_over_L3,0.019284297012076825,full tier refit over the pooled tier step -- what the refit adds beyond a step
DECISION,ALL_TIERS,ppm,L2_over_L1,0.00020296622240270165,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
DECISION,ALL_TIERS,ppm,L3_over_L1,0.0033168674588385664,TIER STEP over one pooled defence coefficient -- the step's own added value
DECISION,ALL_TIERS,ppm,L3_over_L2,0.003113901236435865,TIER STEP over the LINEAR interaction
DECISION,ALL_TIERS,points,L2_over_L1,0.0010051448507570257,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
DECISION,ALL_TIERS,points,L3_over_L1,0.0025800751227212323,TIER STEP over one pooled defence coefficient -- the step's own added value
DECISION,ALL_TIERS,points,L3_over_L2,0.0015749302719642066,TIER STEP over the LINEAR interaction
POOLED,T3_high,ppm,L2_over_L1,0.006246291710046825,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
POOLED,T3_high,ppm,L3_over_L1,0.005104139335465187,TIER STEP over one pooled defence coefficient -- the step's own added value
POOLED,T3_high,ppm,L3_over_L2,-0.0011421523745816383,TIER STEP over the LINEAR interaction
POOLED,T3_high,ppm,L4_over_L3,-0.0009882498730860796,full tier refit over the pooled tier step -- what the refit adds beyond a step
POOLED,T3_high,points,L2_over_L1,0.005557553131161717,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
POOLED,T3_high,points,L3_over_L1,0.004321726489712503,TIER STEP over one pooled defence coefficient -- the step's own added value
POOLED,T3_high,points,L3_over_L2,-0.0012358266414492136,TIER STEP over the LINEAR interaction
POOLED,T3_high,points,L4_over_L3,0.0035327534837294393,full tier refit over the pooled tier step -- what the refit adds beyond a step
POOLED,ALL_TIERS,ppm,L2_over_L1,0.0014000093551400446,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
POOLED,ALL_TIERS,ppm,L3_over_L1,0.0009429582628815228,TIER STEP over one pooled defence coefficient -- the step's own added value
POOLED,ALL_TIERS,ppm,L3_over_L2,-0.0004570510922585219,TIER STEP over the LINEAR interaction
POOLED,ALL_TIERS,points,L2_over_L1,0.0018725396989683518,linear interaction OVER one pooled defence coefficient -- the construction of D098's +0.0002 anchor
POOLED,ALL_TIERS,points,L3_over_L1,0.0011785999226949107,TIER STEP over one pooled defence coefficient -- the step's own added value
POOLED,ALL_TIERS,points,L3_over_L2,-0.000693939776273441,TIER STEP over the LINEAR interaction
