player_id,season,player_name,age,birthdate,height_str,height_inches,weight_lbs,draft_year,draft_round,draft_number,draft_raw,college,country,position_raw,source,cpi_enriched
100720,2021,Sue Bird,41.0,1980-10-16T00:00:00,5-9,69.0,150.0,2002,1,1,2002|1|1,Connecticut,USA,Guard,leaguedashplayerbiostats,True
100940,2021,Diana Taurasi,40.0,1982-06-11T00:00:00,6-0,72.0,163.0,2004,1,1,2004|1|1,Connecticut,USA,Guard,leaguedashplayerbiostats,True
200676,2021,Candice Dupree,37.0,1984-08-16T00:00:00,6-2,74.0,178.0,2006,1,6,2006|1|6,Temple,USA,Forward,leaguedashplayerbiostats,True
201480,2021,Sylvia Fowles,36.0,1985-10-06T00:00:00,6-6,78.0,218.0,2008,1,2,2008|1|2,Louisiana State,USA,Center,leaguedashplayerbiostats,True
201496,2021,Candace Parker,36.0,1986-04-19T00:00:00,6-4,76.0,184.0,2008,1,1,2008|1|1,Tennessee,USA,Forward-Center,leaguedashplayerbiostats,True
201507,2021,Leilani Mitchell,37.0,1985-06-15T00:00:00,5-5,65.0,138.0,2008,2,25,2008|2|25,Utah,USA,Guard,leaguedashplayerbiostats,True
201516,2021,Allie Quigley,36.0,1986-06-20T00:00:00,5-10,70.0,142.0,2008,2,22,2008|2|22,DePaul,USA,Guard,leaguedashplayerbiostats,True
201881,2021,Angel McCoughtry,35.0,1986-09-10T00:00:00,6-1,73.0,173.0,2009,1,1,2009|1|1,Louisville,USA,Forward-Guard,leaguedashplayerbiostats,True
201886,2021,DeWanna Bonner,34.0,1987-08-21T00:00:00,6-4,76.0,142.0,2009,1,5,2009|1|5,Auburn,USA,Forward-Guard,leaguedashplayerbiostats,True
201896,2021,Briann January,35.0,1987-01-11T00:00:00,5-8,68.0,148.0,2009,1,6,2009|1|6,Arizona State,USA,Guard,leaguedashplayerbiostats,True
201911,2021,Kristi Toliver,35.0,1987-01-27T00:00:00,5-7,67.0,130.0,2009,1,3,2009|1|3,Maryland,USA,Guard,leaguedashplayerbiostats,True
201913,2021,Kia Vaughn,35.0,1987-01-24T00:00:00,6-4,76.0,205.0,2009,1,8,2009|1|8,Rutgers,USA,Center,leaguedashplayerbiostats,True
201919,2021,Shavonte Zellous,35.0,1986-08-28T00:00:00,5-10,70.0,188.0,2009,1,11,2009|1|11,Pittsburgh,USA,Guard,leaguedashplayerbiostats,True
202250,2021,Tina Charles,33.0,1988-12-05T00:00:00,6-4,76.0,192.0,2010,1,1,2010|1|1,Connecticut,USA,Center,leaguedashplayerbiostats,True
202259,2021,Epiphanny Prince,34.0,1988-01-11T00:00:00,5-9,69.0,179.0,2010,1,4,2010|1|4,Rutgers,USA,Guard,leaguedashplayerbiostats,True
202633,2021,Liz Cambage,30.0,1991-08-18T00:00:00,6-8,80.0,216.0,2011,1,2,2011|1|2,None,Australia,Center,leaguedashplayerbiostats,True
202638,2021,Jessica Breland,34.0,1988-02-23T00:00:00,6-2,74.0,166.0,2011,2,13,2011|2|13,North Carolina,USA,Forward,leaguedashplayerbiostats,True
202650,2021,Jantel Lavender,33.0,1988-11-12T00:00:00,6-4,76.0,185.0,2011,1,5,2011|1|5,Ohio State,USA,Forward,leaguedashplayerbiostats,True
202658,2021,Danielle Robinson,33.0,1989-05-10T00:00:00,5-9,69.0,137.0,2011,1,6,2011|1|6,Oklahoma,USA,Guard,leaguedashplayerbiostats,True
202662,2021,Jasmine Thomas,32.0,1989-09-30T00:00:00,5-9,69.0,143.0,2011,1,12,2011|1|12,Duke,USA,Guard,leaguedashplayerbiostats,True
202664,2021,Courtney Vandersloot,33.0,1989-02-08T00:00:00,5-8,68.0,137.0,2011,1,3,2011|1|3,Gonzaga,USA,Guard,leaguedashplayerbiostats,True
203014,2021,Nneka Ogwumike,31.0,1990-07-02T00:00:00,6-2,74.0,174.0,2012,1,1,2012|1|1,Stanford,USA,Forward,leaguedashplayerbiostats,True
203015,2021,Shekinna Stricklen,31.0,1990-07-30T00:00:00,6-2,74.0,230.0,2012,1,2,2012|1|2,Tennessee,USA,Forward,leaguedashplayerbiostats,True
203024,2021,Damiris Dantas,29.0,1992-11-17T00:00:00,6-3,75.0,209.0,2012,1,12,2012|1|12,None,Brazil,Center-Forward,leaguedashplayerbiostats,True
203026,2021,Tiffany Hayes,32.0,1989-09-20T00:00:00,5-10,70.0,155.0,2012,2,14,2012|2|14,Connecticut,USA,Guard,leaguedashplayerbiostats,True
203029,2021,Riquna Williams,32.0,1990-05-28T00:00:00,5-7,67.0,165.0,2012,2,17,2012|2|17,Miami,USA,Guard,leaguedashplayerbiostats,True
203035,2021,Shey Peddy,33.0,1988-10-28T00:00:00,5-7,67.0,147.0,2012,2,23,2012|2|23,Temple,USA,Guard,leaguedashplayerbiostats,True
