team_id,abbreviation,franchise,first_season,last_season,city,arena,lat,lon,elevation_ft,timezone
1611661313,NYL,New York Liberty,2021,,"Brooklyn, NY",Barclays Center,40.6828,-73.9758,30,America/New_York
1611661317,PHO,Phoenix Mercury,2021,2024.0,"Phoenix, AZ",Footprint Center,33.4457,-112.0712,1090,America/Phoenix
1611661317,PHX,Phoenix Mercury,2025,,"Phoenix, AZ",Footprint Center,33.4457,-112.0712,1090,America/Phoenix
1611661319,LVA,Las Vegas Aces,2021,,"Las Vegas (Paradise), NV",Michelob ULTRA Arena,36.0905,-115.1767,2030,America/Los_Angeles
1611661320,LAS,Los Angeles Sparks,2021,,"Los Angeles, CA",Crypto.com Arena,34.043,-118.2673,285,America/Los_Angeles
1611661321,DAL,Dallas Wings,2021,,"Arlington, TX",College Park Center,32.7299,-97.1081,604,America/Chicago
1611661322,WAS,Washington Mystics,2021,,"Washington, DC",Entertainment & Sports Arena,38.8621,-76.9978,130,America/New_York
1611661323,CON,Connecticut Sun,2021,,"Uncasville, CT",Mohegan Sun Arena,41.491,-72.091,40,America/New_York
1611661324,MIN,Minnesota Lynx,2021,,"Minneapolis, MN",Target Center,44.9795,-93.276,830,America/Chicago
1611661325,IND,Indiana Fever,2021,,"Indianapolis, IN",Gainbridge Fieldhouse,39.764,-86.1555,715,America/Indiana/Indianapolis
1611661327,PDX,Portland Fire,2026,,"Portland, OR",Moda Center,45.5316,-122.6668,50,America/Los_Angeles
1611661328,SEA,Seattle Storm,2021,,"Seattle, WA",Climate Pledge Arena,47.6221,-122.354,175,America/Los_Angeles
1611661329,CHI,Chicago Sky,2021,,"Chicago, IL",Wintrust Arena,41.8534,-87.6193,595,America/Chicago
1611661330,ATL,Atlanta Dream,2021,,"College Park (Atlanta), GA",Gateway Center Arena,33.6545,-84.4477,1010,America/New_York
1611661331,GSV,Golden State Valkyries,2025,,"San Francisco, CA",Chase Center,37.768,-122.3877,20,America/Los_Angeles
1611661332,TOR,Toronto Tempo,2026,,"Toronto, ON",Coca-Cola Coliseum,43.6353,-79.4185,250,America/Toronto
