file,experiment_id,has_permutation,evidence_lines,what_is_permuted,strata,what_is_refit_under_permutation,what_is_NOT_refit,permutation_inside_fitting_loop,verdict,reasoning
joint_differential.py,joint_differential_v1,YES,"AUDIT 3 inline in main(), lines 702-760; faithful null line 730-731; defective diagnostic line 732-733; gate at 751-752","the four channel TARGET columns, shuffled as a row block (one permutation applied to all four at once, so the permuted margin is still a real game's margin)","within train season (2021, 2022, 2023 separately)","FAITHFUL null: the four per-channel ridge coefficient vectors AND the final linear margin calibration (a_p, b_p), both on the permuted targets","X-standardizer (fit on features only - permutation touches Y, so it is bit-identical either way, NOT the failure pattern); ridge lambdas (tuned once on inner folds inside 2021-2023, applied identically to both arms = MILD-FROZEN-PARAM); the feature matrix including d_rapm (correct - the null shuffles Y, not X)","INSIDE (both refits happen per draw, k in range(PERM_K=30))","SPLIT: FAITHFUL NULL CLEAN (and it is the sole pass criterion) / DIAGNOSTIC VARIANT DEFECTIVE BY CONSTRUCTION (non-gating, labelled)","Line 732 `a_t, b_t = rr.linfit(pred_sum_tr, y_true_tr)` refits the calibration on TRUE train margins while the ridges beneath it were refit on permuted ones - the fatal pattern verbatim. Verified non-gating: audit3['passed'] (751-752) reads only perm_maes (the faithful list); perm_maes_truecal is carried for reporting. THE REAL PROBLEM IS THE GATE, NOT THE VARIANT: PERM_NEAR_NAIVE_TOL = 0.35 (line 125) allows the null to beat naive by 0.35 MAE, and the defect beat it by only 0.108 (11.3005 vs 11.4088). Had the truecal variant been the null, audit 3 would have reported PASS. The defect was caught by a human reading the diagnostic line, not by the automated gate. Pinned in tests/test_permutation_integrity.py::test_configured_tolerance_is_too_loose."
feature_lab.py,player_feature_screen_v1,YES,"perm_null, lines 154-181; called from eval_candidate 305-314 (primary) and 349-357 (>=15min robustness)","the CANDIDATE FEATURE column (not the target) - this null asks 'does feature X beat the baseline', not 'is there any signal'","within season on train (lines 164, 172-175); validation is a single season (2024) so the validation shuffle is within-season by construction","the full joint [baseline, feature] ridge and the feature column's standardization mean/sd, recomputed from the permuted array every draw (lines 177-178)","the baseline-only reference MAE m_base (lines 165-170), computed once from true b_tr/y_tr - provably invariant because the baseline is never the permuted variable; the candidate's EWMA alpha (swept on inner folds, frozen before 2024, applied identically to both arms = MILD-FROZEN-PARAM)","INSIDE (permute then refit, per draw, lines 172-180)",CLEAN (one MILD-FROZEN-PARAM),Every coefficient that could encode the feature-target relationship is re-derived from the permuted column each draw. The one hoisted quantity is structurally independent of the permuted variable.
interactions_lab.py,player_feature_interactions_v1 / player_vs_archetype_v1,YES (Level 2) / NO (Level 3),l2_test lines 136-220; build_block_bank 223-245; standardization refit line 195; both models refit via _fit_pair 122-133 called at 201/204; Level 3 eb_level3 303-413 has no null,the MODERATOR assignment (perm_side='m') or the ARCHETYPE assignment (perm_side='f'),"whole-player / whole-team BLOCK permutation within season, donor blocks cycled when lengths differ (236-244)","standardization of the permuted side recomputed fresh each draw from the actual permuted values (line 195, NOT reused from the true-data stats); BOTH the no-interaction and the interaction ridge (stronger than feature_lab, where only the treatment model is refit)","the non-tested arrays zb/zf/zm (163-166) - untouched by the permutation and identical in both arms; survivor alphas frozen from the committed feature_lab screen, moderator EWMAs pinned at 0.10 (never tuned) = MILD-FROZEN-PARAM",INSIDE,"CLEAN (Level 2) / NO-PERMUTATION (Level 3, by design)","Level 2 is the strongest null in the repo. Level 3 substitutes EB shrinkage + a posterior-z gate + within-player time-split replication - a different validation method, not a broken null. Disclosed non-fatal caveat: one permutation bank is shared across the battery (lines 229-230, 602-604), which affects cross-test dependence, not single-test validity."
crossseason_screen.py,player_feature_crossseason_v1,YES,perm_null_ms lines 190-217; called from eval_candidate 523-531 and 588-596,"the two-column (value, has_prior_season) block, permuted AS A PAIR",within season (lines 209-211),"DesignMS (mean/sd/degeneracy/keep_indicator) recomputed from the permuted block (213) and the ridge fully refit (214), every draw","the baseline-only reference m_base (205) - same provably-safe pattern as feature_lab; candidate 92's blend weight w, swept on inner folds and frozen for both arms = MILD-FROZEN-PARAM",INSIDE (208-216),CLEAN (one MILD-FROZEN-PARAM),Permuting the two columns as a pair is deliberate and documented (194-200): permuting them independently would construct a different and easier null. Carries a separate leakage_audit (260-419) that is not a placebo test.
bios_screen.py,player_feature_screen_v1 (bios family),YES (delegated),imports feature_lab.eval_candidate at 46-49; calls it unmodified at 157-158,(same as feature_lab - the candidate feature column),(same as feature_lab),(same as feature_lab),(same as feature_lab),INSIDE,"CLEAN (inherits feature_lab, same code object)",No permutation logic is reimplemented here; the file's own code is coverage accounting and reporting that never touches the fit or the null.
volume_heterogeneity.py,player_volume_heterogeneity_v1,YES (delegated),calls IL.l2_test at 581-582 and 674-675; IL.build_block_bank at 554-560 with distinct seeds SEED_BASE+11/12/13,(same as interactions_lab Level 2),(same as interactions_lab),(same as interactions_lab),"its own tune_volume_baselines output (141-178), tuned then frozen and applied to both arms = MILD-FROZEN-PARAM; the rarity gate (295-321, 495-540) excludes tests symmetrically before either arm runs",INSIDE,CLEAN (inherits interactions_lab),Distinct permutation seeds avoid draw collision with the parent battery. Power/MDE reporting is post-hoc and never fed back into a fit.
pocket_mining.py,bet_pocket_mining_v1,YES (200/era),draw at 1201-1207; battery built once at 737-748/1160; re-evaluated per draw by eval_battery_fast 768-787; per-cell p at 1208; BH at 1242-1250,"the assignment of the FROZEN model prediction vector (margin + total, jointly) to games - only which game reads which prediction moves; market lines and settlement arrays are untouched",within era,"nothing is fitted anywhere in this script; the ENTIRE pre-registered cell battery has its ROI recomputed inside every draw, not just a previously-identified best cell","conditioner strata (line_terc, total_terc, rest_sign, phase, weekend) computed once from pregame market/schedule observables (578-588) - covariates defining strata, not fitted parameters","battery DEFINITION outside (fixed, registered); ROI EVALUATION inside - the correct ordering",CLEAN,"Explicitly immune to the selection-hoisting analogue: there is no selection step before BH, so every cell is symmetric between the real and null passes. sigma and the prediction vector are frozen external inputs."
props_edge.py,props_edge_v1,"YES (two nulls, 200/season)",block_permutation 1009-1024; _run_null 1031-1056; run_inference 1068-1080; build_cells 914-928; eval_battery_fast 936-953; BH 1086-1118,"the projection column's assignment to player-games (row attributes, lines and outcomes all fixed) - the pocket_mining pattern","registered null: within season. Companion null: within (season, phase)","the full registered battery is re-evaluated inside every draw for BOTH nulls; the projection itself is a frozen strictly-prior EWMA (merge_asof backward, allow_exact_matches=False, 325-357)","tercile boundaries computed once from projection-independent attributes (812-819, commented as such)",cell definition outside; evaluation inside,CLEAN on the fitted-parameter axis; DISCLOSED BLOCKING CAVEAT (different species),"The registered within-season block is mis-centred for playoff-scope cells (playoff rows are 7.8% of the pool, so a season-wide shuffle dilutes them: null mean ROI -0.076 playoff vs -0.051 regular). That is an exchangeability/granularity error, not a parameter fitted on true data surviving into the null. It is disclosed in the docstring (120-128), a corrected companion null is reported alongside, and playoff cells are not headlined."
minutes_twostage.py,minutes_twostage_availability_v1,"YES (single-draw probe, not a p-value machine)",permute 900-904; refit 905-906; compare 907-908,TRAIN minutes (the target),within season (groupby('season').transform(sample(frac=1))),"the stage-B ridge coefficient vector, fully, on the permuted target","std_b, the X-standardizer (fit on features only; X is byte-identical between tr1 and tr_perm, so reuse is required for a like-for-like comparison, not a leak); lam_b, the CV-tuned ridge penalty, held fixed for both the real and permuted fit = MILD-FROZEN-PARAM","INSIDE (permute at 901-904, refit at 905)","MILD-FROZEN-PARAM (defensible, non-fatal)","No downstream recalibration stage exists in this file (grep for calib/recalib/shrink/blend returns nothing), so the joint_differential pattern cannot occur. The signal-bearing parameter (beta) is re-derived from noise every time. Weakness is power, not validity: one draw cannot produce a p-value."
bottomup_3pt.py,bottomup_3pt_channel_v1,NO,shift_audit 527-615 (gates the run at 805); reconcile_incumbent 270-327; independent as-of-vs-shifted cross-check 741-756; bootstrap CI 869-872,(none),(none),(none),(n/a),(n/a),NO-PERMUTATION,"Substitute validation: truncate-and-recompute shift audit (hard-gating), incumbent reconciliation to 1e-6, paired date-clustered bootstrap CI. Fits three tuned parameters (a_rate, K, a_team) and claims a comparison against an incumbent, but never asks whether the same procedure would look skilful on noise. The highest-value place in the repo to ADD a permutation probe. A bootstrap CI resamples an already-computed true-data delta and cannot reveal whether that delta is itself a chance artifact; a truncate-and-recompute audit proves a feature does not peek forward but never asks whether the fitting procedure would look skilful on pure noise. These results are therefore UNFALSIFIED against the chance hypothesis - not wrong, untested."
