variant,channel,lambda,mae_fold1,mae_fold2,mae_fold3,mae_mean,chosen
full,ft,0.01,4.999850138948533,5.069781935933408,5.262529325081999,5.110720466654647,False
full,ft,0.03,4.999867040209283,5.069760205892985,5.262515520257215,5.110714255453161,False
full,ft,0.1,4.999926112248778,5.069684172807473,5.262467220430347,5.110692501828866,False
full,ft,0.3,5.000094186953492,5.069467124153651,5.26232936694651,5.110630226017885,False
full,ft,1.0,5.000674386477145,5.0687096434519106,5.26184857534006,5.110410868423038,False
full,ft,3.0,5.002266277356409,5.066563872907118,5.260489216951507,5.109773122405011,False
full,ft,10.0,5.009253199105606,5.05934379797462,5.255891197703792,5.108162731594672,False
full,ft,30.0,5.028097678093947,5.040977709038642,5.243958010424348,5.104344465852312,True
full,ft,100.0,5.088924587391398,5.010852953128078,5.213658737312253,5.104478759277243,False
full,ft,300.0,5.230453671261235,4.979384651457292,5.1903624778455635,5.1334002668546965,False
full,ft,1000.0,5.445159261761204,4.998340191663677,5.230243221153593,5.224580891526158,False
full,3pt,0.01,8.906652206867992,8.804654200372111,8.798409401043644,8.83657193609458,False
full,3pt,0.03,8.906577630126018,8.804678541639982,8.798385078948883,8.836547083571627,False
full,3pt,0.1,8.906317334627271,8.804763669577213,8.798299987821535,8.836460330675338,False
full,3pt,0.3,8.905579784153788,8.805006323665644,8.798057180233402,8.836214429350944,False
full,3pt,1.0,8.903068329787464,8.805849034122701,8.797210953690007,8.835376105866724,False
full,3pt,3.0,8.896449984818831,8.80820175496779,8.794823623669936,8.833158454485519,False
full,3pt,10.0,8.87846892826087,8.815843524243265,8.788776135551474,8.827696196018536,False
full,3pt,30.0,8.86544870276497,8.84092744016945,8.774125574615002,8.826833905849808,True
full,3pt,100.0,8.991332111770827,8.951687002176119,8.771932166864365,8.904983760270438,False
full,3pt,300.0,9.203930023035946,9.189689384967421,8.944004620991192,9.112541342998187,False
full,3pt,1000.0,9.461853531073908,9.493857114681877,9.336729858377714,9.430813501377834,False
full,paint,0.01,10.036963624923331,9.139674136991406,8.759976892878159,9.312204884930965,False
full,paint,0.03,10.03660623347223,9.1396501151987,8.759998714158934,9.312085020943288,False
full,paint,0.1,10.035357988890135,9.13956605139324,8.760075056130404,9.31166636547126,False
full,paint,0.3,10.03181390705294,9.139325976025523,8.760292897743899,9.310477593607454,False
full,paint,1.0,10.01966357911272,9.138486961947477,8.76105211059343,9.306400883884542,False
full,paint,3.0,9.98696937367255,9.136100542281653,8.763193936942752,9.295421284298985,False
full,paint,10.0,9.894704658867827,9.127875247449028,8.770384533944421,9.264321480087093,False
full,paint,30.0,9.745524591670483,9.117193943366184,8.78860975781615,9.21710943095094,False
