family,zone,metric,null_level,draw,value
selection,Restricted Area,beta,cluster_opp_team_season,0,-0.11377703680251161
selection,Restricted Area,beta,cluster_opp_team_season,1,-0.031222713040600248
selection,Restricted Area,beta,cluster_opp_team_season,2,-0.15476698669848138
selection,Restricted Area,beta,cluster_opp_team_season,3,0.07967854778731269
selection,Restricted Area,beta,cluster_opp_team_season,4,0.12711407897742324
selection,Restricted Area,beta,cluster_opp_team_season,5,0.10850080059578106
selection,Restricted Area,beta,cluster_opp_team_season,6,-0.23871937895312476
selection,Restricted Area,beta,cluster_opp_team_season,7,0.005795591937515904
selection,Restricted Area,beta,cluster_opp_team_season,8,-0.053790598453994684
selection,Restricted Area,beta,cluster_opp_team_season,9,0.06503639465662056
selection,Restricted Area,beta,cluster_opp_team_season,10,-0.0798269032324712
selection,Restricted Area,beta,cluster_opp_team_season,11,-0.055260849616716054
selection,Restricted Area,beta,cluster_opp_team_season,12,0.1449693576983258
selection,Restricted Area,beta,cluster_opp_team_season,13,0.03389365132646405
selection,Restricted Area,beta,cluster_opp_team_season,14,0.1400754835347225
selection,Restricted Area,beta,cluster_opp_team_season,15,0.1841497624618605
selection,Restricted Area,beta,cluster_opp_team_season,16,0.06397220821836029
selection,Restricted Area,beta,cluster_opp_team_season,17,0.15832232572776395
selection,Restricted Area,beta,cluster_opp_team_season,18,0.1918551254870168
selection,Restricted Area,beta,cluster_opp_team_season,19,0.17315524881324193
selection,Restricted Area,beta,cluster_opp_team_season,20,0.1417301452476267
selection,Restricted Area,beta,cluster_opp_team_season,21,-0.01767108164542167
selection,Restricted Area,beta,cluster_opp_team_season,22,-0.04497724664265335
selection,Restricted Area,beta,cluster_opp_team_season,23,-0.021161272697977497
selection,Restricted Area,beta,cluster_opp_team_season,24,-0.11666303518306047
selection,Restricted Area,beta,cluster_opp_team_season,25,-0.04341419537292746
selection,Restricted Area,beta,cluster_opp_team_season,26,0.02872621863494907
selection,Restricted Area,beta,cluster_opp_team_season,27,0.31454353969128923
selection,Restricted Area,beta,cluster_opp_team_season,28,0.1388204257943453
selection,Restricted Area,beta,cluster_opp_team_season,29,0.015887312454679513
selection,Restricted Area,beta,cluster_opp_team_season,30,-0.01759883693581263
selection,Restricted Area,beta,cluster_opp_team_season,31,-0.0022844293339831204
selection,Restricted Area,beta,cluster_opp_team_season,32,-0.06281501917033616
selection,Restricted Area,beta,cluster_opp_team_season,33,-0.28545273832386364
selection,Restricted Area,beta,cluster_opp_team_season,34,0.006996765669901244
selection,Restricted Area,beta,cluster_opp_team_season,35,-0.33926711660737435
selection,Restricted Area,beta,cluster_opp_team_season,36,-0.18015742723549003
selection,Restricted Area,beta,cluster_opp_team_season,37,-0.3896442140830527
selection,Restricted Area,beta,cluster_opp_team_season,38,-0.15258420792932476
selection,Restricted Area,beta,cluster_opp_team_season,39,0.05017191233021554
selection,Restricted Area,beta,cluster_opp_team_season,40,0.02674052689743998
selection,Restricted Area,beta,cluster_opp_team_season,41,-0.22296086187416775
selection,Restricted Area,beta,cluster_opp_team_season,42,-0.031205835915477723
selection,Restricted Area,beta,cluster_opp_team_season,43,0.2731832809193495
selection,Restricted Area,beta,cluster_opp_team_season,44,-0.09202683329564894
selection,Restricted Area,beta,cluster_opp_team_season,45,-0.19398950640321663
selection,Restricted Area,beta,cluster_opp_team_season,46,0.005499740726480157
selection,Restricted Area,beta,cluster_opp_team_season,47,-0.2533104547727087
selection,Restricted Area,beta,cluster_opp_team_season,48,0.17357879101652562
selection,Restricted Area,beta,cluster_opp_team_season,49,0.004798661881598692
selection,Restricted Area,beta,cluster_opp_team_season,50,0.20756744883813555
selection,Restricted Area,beta,cluster_opp_team_season,51,-0.20471732178530458
selection,Restricted Area,beta,cluster_opp_team_season,52,0.19450543724221206
selection,Restricted Area,beta,cluster_opp_team_season,53,0.14731168578273138
selection,Restricted Area,beta,cluster_opp_team_season,54,-0.10941783652823206
selection,Restricted Area,beta,cluster_opp_team_season,55,-0.015123749005408735
selection,Restricted Area,beta,cluster_opp_team_season,56,0.09564959212424307
selection,Restricted Area,beta,cluster_opp_team_season,57,0.08852121947787217
selection,Restricted Area,beta,cluster_opp_team_season,58,0.17180115257721554
selection,Restricted Area,beta,cluster_opp_team_season,59,-0.22789735781869952
selection,Restricted Area,beta,cluster_opp_team_season,60,0.16870871270421964
selection,Restricted Area,beta,cluster_opp_team_season,61,-0.28648960728049894
selection,Restricted Area,beta,cluster_opp_team_season,62,-0.2497940945275013
selection,Restricted Area,beta,cluster_opp_team_season,63,-0.14190705761647857
selection,Restricted Area,beta,cluster_opp_team_season,64,-0.21852608783201818
selection,Restricted Area,beta,cluster_opp_team_season,65,-0.1906422190283667
selection,Restricted Area,beta,cluster_opp_team_season,66,-0.21469029050190316
selection,Restricted Area,beta,cluster_opp_team_season,67,0.06547126084009135
selection,Restricted Area,beta,cluster_opp_team_season,68,-0.16881976074496638
selection,Restricted Area,beta,cluster_opp_team_season,69,0.1350795316832825
selection,Restricted Area,beta,cluster_opp_team_season,70,0.20833943170679908
selection,Restricted Area,beta,cluster_opp_team_season,71,-0.1453505001368465
selection,Restricted Area,beta,cluster_opp_team_season,72,-0.1443138675230934
selection,Restricted Area,beta,cluster_opp_team_season,73,-0.07153905196146715
selection,Restricted Area,beta,cluster_opp_team_season,74,-0.27708619995276734
selection,Restricted Area,beta,cluster_opp_team_season,75,0.10416892725569858
selection,Restricted Area,beta,cluster_opp_team_season,76,0.11000749493484001
selection,Restricted Area,beta,cluster_opp_team_season,77,-0.0176359559681888
selection,Restricted Area,beta,cluster_opp_team_season,78,0.4023404966019021
selection,Restricted Area,beta,cluster_opp_team_season,79,-0.06764346017108257
selection,Restricted Area,beta,cluster_opp_team_season,80,0.034620600415213365
selection,Restricted Area,beta,cluster_opp_team_season,81,-0.15866653708979742
selection,Restricted Area,beta,cluster_opp_team_season,82,-0.08032958452668784
selection,Restricted Area,beta,cluster_opp_team_season,83,-0.10463804994518329
selection,Restricted Area,beta,cluster_opp_team_season,84,0.012537269165579346
selection,Restricted Area,beta,cluster_opp_team_season,85,-0.0383371237216644
selection,Restricted Area,beta,cluster_opp_team_season,86,-0.05066683675448566
selection,Restricted Area,beta,cluster_opp_team_season,87,-0.1299718293217523
selection,Restricted Area,beta,cluster_opp_team_season,88,-0.09838617017806339
selection,Restricted Area,beta,cluster_opp_team_season,89,0.2204244029929112
selection,Restricted Area,beta,cluster_opp_team_season,90,0.2289988201308203
selection,Restricted Area,beta,cluster_opp_team_season,91,0.14123640614233923
selection,Restricted Area,beta,cluster_opp_team_season,92,-0.05169816466068135
selection,Restricted Area,beta,cluster_opp_team_season,93,-0.09036528179667329
selection,Restricted Area,beta,cluster_opp_team_season,94,0.45638965150665584
selection,Restricted Area,beta,cluster_opp_team_season,95,0.11911004039462722
selection,Restricted Area,beta,cluster_opp_team_season,96,-0.03578310345499407
selection,Restricted Area,beta,cluster_opp_team_season,97,0.31462734531362946
selection,Restricted Area,beta,cluster_opp_team_season,98,-0.27130033292664035
selection,Restricted Area,beta,cluster_opp_team_season,99,-0.17144742918620837
selection,Restricted Area,beta,cluster_opp_team_season,100,-0.13906649625163553
selection,Restricted Area,beta,cluster_opp_team_season,101,0.017422943863178234
selection,Restricted Area,beta,cluster_opp_team_season,102,0.03729782772844301
selection,Restricted Area,beta,cluster_opp_team_season,103,-0.07046603006994584
selection,Restricted Area,beta,cluster_opp_team_season,104,-0.025762397504587267
selection,Restricted Area,beta,cluster_opp_team_season,105,-0.23093395403285807
selection,Restricted Area,beta,cluster_opp_team_season,106,-0.12831601791820973
selection,Restricted Area,beta,cluster_opp_team_season,107,0.09576567480564838
selection,Restricted Area,beta,cluster_opp_team_season,108,-0.22726216017246811
selection,Restricted Area,beta,cluster_opp_team_season,109,0.04084305094381848
selection,Restricted Area,beta,cluster_opp_team_season,110,-0.1167007890834081
selection,Restricted Area,beta,cluster_opp_team_season,111,-0.036181926044664844
selection,Restricted Area,beta,cluster_opp_team_season,112,0.2084784525523534
