date,year,home_team,away_team,source,data_type,home_odds,away_odds,sportsbook
2024-05-14,2024,New York Liberty,Atlanta Dream,OddsPortal,closing_odds,1.85,2.10,
2024-05-14,2024,New York Liberty,Atlanta Dream,OddsPortal_Detail,closing_odds,1.83,2.15,FanDuel
2024-05-14,2024,New York Liberty,Atlanta Dream,OddsPortal_Detail,closing_odds,1.87,2.08,DraftKings
2024-05-14,2024,New York Liberty,Atlanta Dream,OddsPortal_Detail,closing_odds,1.84,2.12,BetMGM
2024-05-15,2024,Las Vegas Aces,Indiana Fever,OddsPortal,closing_odds,1.65,2.45,
2024-05-15,2024,Las Vegas Aces,Indiana Fever,OddsPortal_Detail,closing_odds,1.67,2.41,FanDuel
2024-05-15,2024,Las Vegas Aces,Indiana Fever,OddsPortal_Detail,closing_odds,1.63,2.48,DraftKings
2024-05-15,2024,Las Vegas Aces,Indiana Fever,OddsPortal_Detail,closing_odds,1.66,2.43,Caesars
2024-05-16,2024,Minnesota Lynx,Seattle Storm,OddsPortal,closing_odds,1.92,1.98,
2024-05-16,2024,Minnesota Lynx,Seattle Storm,OddsPortal_Detail,closing_odds,1.90,2.00,FanDuel
2024-05-16,2024,Minnesota Lynx,Seattle Storm,OddsPortal_Detail,closing_odds,1.94,1.96,DraftKings
2024-05-17,2024,Phoenix Mercury,Chicago Sky,OddsPortal,closing_odds,1.75,2.25,
2024-05-17,2024,Phoenix Mercury,Chicago Sky,OddsPortal_Detail,closing_odds,1.77,2.21,BetMGM
2024-05-17,2024,Phoenix Mercury,Chicago Sky,OddsPortal_Detail,closing_odds,1.73,2.29,Caesars
2024-06-01,2024,Connecticut Sun,Dallas Wings,OddsPortal,closing_odds,1.55,2.65,
2024-06-01,2024,Connecticut Sun,Dallas Wings,OddsPortal_Detail,closing_odds,1.57,2.61,FanDuel
2024-06-01,2024,Connecticut Sun,Dallas Wings,OddsPortal_Detail,closing_odds,1.53,2.69,DraftKings
