screen,response,response_kind,components_sum_to,fixed_at_higher_level,classification,published_verdict_on_this_response,evidence_quote,exposure_note,screen_level_classification
E0_I0003_rebound_interaction,DRB/ORB secure rate = secured / opportunities,share,the player's own opportunity count,no,NOT-APPLICABLE,iterate-not-justified,"'+1 ORB opportunity to the 5 offense players, +1 DRB opportunity to the 5 defense players, and +1 secured to whichever specific player the event credits'",,VIOLATED
E0_I0003_rebound_interaction,per-event outcome (which of the 10 secures the rebound),probability,exactly 1 rebound per event,YES -- exactly one is credited,VIOLATED,null (the one opponent-context interaction tested was null),same quote: exactly one player is credited per event,EXPOSURE NIL: the verdict is a null and a null that flips sign is still a null; E1_I0036 already re-levelled the rebound family and D111 survived,VIOLATED
E0_I0004_shot_location_allowance,shot-level make/miss residual,probability,nothing -- the shooter is given,no,NOT-APPLICABLE,iterate (narrowed to Restricted Area),,,NOT-APPLICABLE
E0_I0005_turnover_interaction,turnovers_per_100_off_poss,rate,nothing -- denominator is the player's OWN on-court possessions,no,NOT-APPLICABLE,kill (the interaction),"'it is a possessions proxy, not a touches count'",,NOT-APPLICABLE
E0_I0006_usage_redistribution,Top-1 teammate's share of total positive delta_usage,share,the sum of the positive deltas -- itself the sum,no,NOT-APPLICABLE,kill,placebo mean 0.539 EXCEEDS the real-absence mean 0.470,,NOT-APPLICABLE
E0_I0006_usage_redistribution,usage_percentage (the underlying quantity),rate,"MEASURED: team-game sum 1.7016, sd 0.2341, cv 0.1376 -- no lattice",no,NOT-APPLICABLE,kill,measured in out/s00b.txt; fails PREREG S1a,,NOT-APPLICABLE
E0_I0008_height_differential,offensive/defensive_rebound_percentage,share,available rebounds while on court,no,NOT-APPLICABLE,"lead, UNCONFIRMED pending rebuild",,,VIOLATED
E0_I0008_height_differential,is_orb (per rebound event),probability,exactly 1 rebound per event,YES,VIOLATED,ambiguous null,'is_orb here is measuring which team is credited',EXPOSURE NIL: ambiguous null; same reasoning as E0_I0003,VIOLATED
E0_I0009_additive_pressure,turnovers_per_100_off_poss,rate,nothing,no,NOT-APPLICABLE,keep-as-lead,,,NOT-APPLICABLE
E0_I0010_positional_matchup,points / rebounds / assists per 100 possessions,rate,nothing,no,NOT-APPLICABLE,kill on all three,,,NOT-APPLICABLE
E0_I0011_tendency_estimator,"MINUTES, raw per-game total",level,200 + 25*n_OT team-minutes,YES -- BY THE RULES,VIOLATED,KILL (minutes),'minutes -- kill'; the screen has no roster-sum step anywhere,EXPOSURE LOW: the published verdict on minutes is a kill,VIOLATED
E0_I0011_tendency_estimator,"points / rebounds / assists, raw per-game totals",count,"the team total, which is itself the outcome",no,NOT-APPLICABLE,keep-as-lead x3,,,VIOLATED
E0_I0012_layer3_noncollinear,per-100-possession rate (pts/reb/ast),rate,nothing,no,NOT-APPLICABLE,"29 of 30 killed, 1 caveated survivor","'sum(player possessions) / (5 x team possessions) has median 0.992' -- a DATA check, not a constraint on the response",,NOT-APPLICABLE
E0_I0013_possession_volume,raw counting stat (pts/reb/ast),count,"the team total, itself the outcome",no,NOT-APPLICABLE,26 of 27 killed,,,NOT-APPLICABLE
E0_I0014_residual_heterogeneity,|residual| and residual^2 of points / MINUTES / FGA,residual magnitude,nothing -- an error magnitude has no budget,no,NOT-APPLICABLE,mostly null; 4 usable leads,"the response is the error magnitude, not the quantity","INHERITED ONLY: the minutes FORECAST it characterises violates the budget, but this screen's own response does not",NOT-APPLICABLE
E0_I0015_points_skill_decomposition,MINUTES (level),level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,minutes skill +6.14% on the decision stratum,'kind: level' for minutes; no roster-sum step anywhere,EXPOSURE: the largest published positive minutes number in the programme,VIOLATED
E0_I0015_points_skill_decomposition,"points, FGA (levels); ppm/fpm/ppf (rates)",level / rate,"the team total, itself the outcome",no,NOT-APPLICABLE,points skill not distinguishable from zero,,,VIOLATED
E0_I0016_efficiency_predictors,y_ppm = pts/minutes; y_ts; y_efg,rate,nothing,no,NOT-APPLICABLE,"3 clear family-wise, 2 of 3 fail their own kill test",,,NOT-APPLICABLE
E0_I0017_shot_quality_efficiency,"y_ppm, y_ts, y_efg",rate,nothing,no,NOT-APPLICABLE,null on the decision-relevant outcome,,,NOT-APPLICABLE
E0_I0019_availability_forecast,appeared (binary) / p_active,probability,"the realised roster size -- a RANDOM VARIABLE (sd 1.0077, range 6-12)",NO -- soft,NOT-APPLICABLE,p_active is genuinely good; honest headline +7.1%,PREREG P1: a roster sum is not a budget,TREATED SEPARATELY in AVAILABILITY_AS_CONSTRAINT.md,NOT-APPLICABLE
E0_I0024_reb_ast_characterisation,"y_oreb, y_dreb, y_reb, y_ast, y_pts",count,"the team total, itself the outcome",no,NOT-APPLICABLE,consolidating null,,,NOT-APPLICABLE
E0_I0028_degeneracy_sweep,champion OUTPUT near-constancy on pts/MINUTES/FGA/p_active,diagnostic,n/a -- the statistic is output dispersion,no,NOT-APPLICABLE,zero new degenerate regions,no signed candidate statistic on minutes exists -> fails PREREG S3,,NOT-APPLICABLE
E0_I0029_freethrow_hurdle,y_any_fta / y_fta_given / y_ftm_given / y_fta / y_ftm / y_pts,probability / count,"the team total, itself the outcome",no,NOT-APPLICABLE,player side closed; opponent side open,'the decomposition is exactly mean-preserving',,NOT-APPLICABLE
E1_I0004_efficiency_transfer,VOID -- the directory declares itself ABANDONED,-,-,-,NO-RESPONSE,"VOID: 'MUST NOT be reused: any number, any contrast, any p-value, any verdict'",ABANDONED.md,EXCLUDED FROM EVERY COUNT,NO-RESPONSE
E1_I0004_efficiency_transfer_v2,MINUTES (y_minutes),level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,KILL,"'responses | y_pts, y_minutes, y_fga, r_ppm, r_ppf'","EXPOSURE LOW: killed on arithmetic, not on power",VIOLATED
E1_I0004_efficiency_transfer_v2,"y_pts, y_fga, r_ppm, r_ppf",count / rate,"the team total, itself the outcome",no,NOT-APPLICABLE,KILL,,,VIOLATED
E1_I0004_fga_forecast,zone attempt counts; fg_pts; pts_total_box,count,"the team total, itself the outcome",no,NOT-APPLICABLE,attempts keep / points kill,,,NOT-APPLICABLE
E1_I0004_rim_finishing,Restricted-Area conversion,probability,nothing,no,NOT-APPLICABLE,existence keeps; E0 magnitude killed,,,NOT-APPLICABLE
E1_I0004_shot_selection,share_z -- share of the PLAYER'S OWN FGA in each of 5 zones,share,"1, across 5 zones within the player-game",YES -- SELF-IMPOSED (a share response),VIOLATED,"selection channel KEEP-AS-LEAD: beta +0.7743 row / +0.9193 cluster, R2 0.035209, player-game dR2 +0.0191, permutation p 0.0002 unadjusted AND family-wise (both at the 1/5001 resolution floor)","analyze.py:200 'for z in ZONES:' -> a separate degree-1 np.polyfit per zone; dr2_playergame.py:69 'for z in ZONES:' -> five separate lstsq fits of z_att on 1 + S1*fga. A case-insensitive search of the whole directory for softmax|multinomial|dirichlet|simplex|renorm|normalis|normaliz|'sum to 1'|jointly|compositional returns ONE hit, the word 'compositional' used descriptively in NOTES.md:167.  Nothing ties the five predicted shares to 1.","**THE ONLY EXPOSED LIVE LEAD IN THE CENSUS.**  Five independent per-zone OLS fits with no constraint.  And it is provable rather than merely unchecked: the regressor OS_z is built as pre_z/pre_tot - lg_share_prior_z, so SUM_z OS_z = 0 by construction; the fitted increment to the share vector is SUM_z b_z*OS_z, which is identically zero ONLY IF ALL FIVE b_z ARE EQUAL. They are +0.774 / +0.653 / +0.556 / +0.325 / +0.563 -- spread by more than 2x.  THE FIVE FITTED SHARES PROVABLY DO NOT SUM TO 1.  NOT RE-MEASURED HERE (it needs the shotchart frame); recorded as the single highest-value follow-up.",VIOLATED
E1_I0008_height_mismatch,OREB% / DREB%,share,available rebounds while on court,no,NOT-APPLICABLE,KILL at the Stage 1 gate,,,NOT-APPLICABLE
E1_I0009_additive_pressure,turnovers_per_100_off_poss,rate,nothing,no,NOT-APPLICABLE,keep-as-lead,,,NOT-APPLICABLE
E1_I0009_r2_rerun,turnovers_per_100_off_poss,rate,nothing,no,NOT-APPLICABLE,"verdict holds, effect size weakens",,,NOT-APPLICABLE
E1_I0011_split_alpha,"points, rebounds, assists",count,"the team total, itself the outcome",no,NOT-APPLICABLE,keep-as-lead x3,,,NOT-APPLICABLE
E1_I0012_survivor_2021drop,rebounds,count,"the team total, itself the outcome",no,NOT-APPLICABLE,KILL,,,NOT-APPLICABLE
E1_I0013_tempo_redundancy,raw assist count,count,the team total,no,NOT-APPLICABLE,KILL,"'The response is the raw assist count, used as-is. Not centered.'",,NOT-APPLICABLE
E1_I0018_teammate_volume_channel,"y_ppm, y_spm, y_pps, y_ts, y_efg, points",rate / count,nothing / the team total,no,NOT-APPLICABLE,tip-time survives but is unusable; prior partly survives,,,NOT-APPLICABLE
E1_I0020_coldstart_tiering,MINUTES,level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,operating rule adopted: 'cuts ... the minutes error by nearly half' on ~8% of rows,"'three targets -- points (pts), minutes, points-per-minute (ppm)'",EXPOSURE: an OPERATING RULE rests on this; the rule is a per-player blend with no roster sum,VIOLATED
E1_I0020_coldstart_tiering,"points, ppm",count / rate,the team total / nothing,no,NOT-APPLICABLE,same rule,,,VIOLATED
E1_I0021_heterogeneity_diagnostic,y_ppm_floor = pts/minutes,rate,nothing,no,NOT-APPLICABLE,heterogeneity not real; one usage x defence axis,,,NOT-APPLICABLE
E1_I0022_optimal_simple_estimator,MINUTES,level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,tuned EWMA ties the champion on minutes,"'four targets -- points, minutes, FGA, points-per-minute'",EXPOSURE: this is the estimator every later minutes screen inherits,VIOLATED
E1_I0022_optimal_simple_estimator,"points, FGA, ppm, pts_per_fga, fga_per_min",count / rate,the team total / nothing,no,NOT-APPLICABLE,champion beats it where it models,,,VIOLATED
E1_I0023_usage_defence_interaction,"y_ppm, y_spm, y_pts, TSA",rate / count,nothing / the team total,no,NOT-APPLICABLE,interaction killed; a new lead raised,,,NOT-APPLICABLE
E1_I0025_threshold_vs_refit,points-per-minute; points,rate / count,nothing / the team total,no,NOT-APPLICABLE,UNRESOLVED,,,NOT-APPLICABLE
E1_I0026_detection_floor,y_ppm,rate,nothing,no,NOT-APPLICABLE,power failure established (56% of cells blind),,,NOT-APPLICABLE
E1_I0027_reference_ladder,MINUTES (one of six targets),level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,ranking unchanged; only 2 of 5 leads were commensurable,"'Six targets: points, minutes, attempts, points-per-minute, rebounds, assists.'","EXPOSURE LOW: the screen's finding is about commensurability, not about a minutes effect",VIOLATED
E1_I0027_reference_ladder,"points, attempts, ppm, rebounds, assists",count / rate,the team total / nothing,no,NOT-APPLICABLE,same,,,VIOLATED
E1_I0030_home_advantage_accounting,team points; player points,count / level,the team total (team-level response); the minutes budget is used as a CLOSURE ARGUMENT,"no (points); YES (minutes, and it is honoured)",HONOURED,effect located in free throws; structurally unexploitable at player level,"'Minutes cannot hide it. A team plays 200 minutes in regulation, and overtime adds 25 more'; 'team minutes are IDENTICAL for both teams in 970 of 970 games (200 + 25 per shared overtime)'",THE ONE SCREEN THAT USED THE MINUTES BUDGET CORRECTLY -- to CLOSE a hiding place before measuring it,HONOURED
E1_I0031_rapm_as_prior,MINUTES,level,200 + 25*n_OT,YES -- BY THE RULES,VIOLATED,mostly null; worth ~1/3 of a percentage point,"'four targets, pts, minutes, fga, ppm'","EXPOSURE LOW: null verdict; also the only screen with all 32 within-entity-null exposed cells (E1_I0040), none of them a flip",VIOLATED
E1_I0031_rapm_as_prior,"pts, fga, ppm",count / rate,the team total / nothing,no,NOT-APPLICABLE,same,,,VIOLATED
