anchor_id,what,source,required,reproduced,abs_dev,status
A1,"appeared player-games, 2021-24 Regular Season",E1_I0046,16717,16717,,PASS
A2,team-games,E1_I0046,1776,1776,,PASS
A3,"sum(player pts) == team pts, max |diff|",E1_I0046,0.0 exact / 0 nonzero,0.000000000000 / 0,0.000e+00,PASS
A4,"sum(player fga) == team fga, max |diff|",E1_I0046,0.0 exact / 0 nonzero,0.000000000000 / 0,0.000e+00,PASS
A5,"sum(player minutes) vs box minutes, max |diff|",E1_I0046,<= 0.07,0.066667,,PASS
A6,"decision stratum, all seasons (rows / players / games)",E1_I0043,"(5673, 149, 708)","(5673, 149, 708)",,PASS
A7,"decision stratum, clean window 2023-24, rows",E1_I0046,3167,3167,,PASS
A8,mean appeared roster per team-game,E1_I0046 / E1_I0033,9.41 (2dp),9.4127,,PASS
A9,E0_I0016 / E1_I0018 screen frame (>=3 prior appearances),those screens,14852,14852,,PASS
A10,home advantage in team points (mean home - mean away),D104 / E1_I0030,+0.965090 on 888 games,+0.965090 on 888 games,|d| 9.01e-08,PASS
A11,median sum(player possessions) / (5 x team possessions),E0_I0012,"0.992 (3dp), p05 0.960, p95 1.023","0.993217, p05 0.947, p95 1.031",|d| 0.001217,"NON-REPRODUCTION (DEMOTED, see DEFECTS D-01)"
A12,T_min on the 25-lattice: n on lattice / max residual,this screen s00,1776 / 0.066667,1776 / 0.066667,,PASS
A14,appeared player-games with points share exactly 0,E1_I0046,2506,2506,,PASS
