draw,maxt_N1_within,maxt_N2_entity_swap
0,2.487040543432445,4.8553592677891135
1,3.5521485777785964,4.82641600651905
2,7.851454120313617,6.093923589946689
3,3.89742220475999,3.4630468304741213
4,2.2666328965695506,3.435473926429519
5,6.12477014196241,4.747595999580693
6,3.301130186737673,4.952561332624372
7,3.8708954325152742,3.006221772781713
8,4.909176195986565,5.226405813560667
9,2.7538196277260543,5.810638169432553
10,3.5864637540554973,3.837186844926724
11,4.635592872375368,7.034413860888899
12,4.671493987070496,3.33787051756526
13,4.0817268655114525,4.871383500877103
14,3.6630818753673804,3.438908672616012
15,8.506312797763579,3.8373313516710343
16,5.071090195143046,2.8792157229869875
17,4.845845300201019,5.472161585682073
18,4.268854121524854,3.7297495722493688
19,3.009122275080916,4.263261057179458
20,6.542366963884527,5.08606538737547
21,5.762217605192948,6.43058789705473
22,3.5682667980782745,8.473888701609473
23,4.63857058829691,2.9063944861039657
24,2.2167267441301792,2.6350258299548663
25,3.34959792640491,3.4819288051910657
26,7.534431840814126,6.017201978798548
27,3.4301456920583004,2.4572352149488905
28,5.528997868787021,5.407759098636157
29,4.377666654893441,2.4129664685660495
30,4.949885284992138,4.471480371838559
31,3.759457622959283,7.077365157313237
32,2.9112398677934883,4.3291047982281565
33,6.607331852431865,2.263768784833298
34,3.1159283214512925,2.601171617348039
35,3.3531631256742407,6.661798085078338
36,3.181446013300805,5.564336522091156
37,3.245370230118702,3.698678138886957
38,4.287583941510518,5.693847927821045
39,4.940821131693464,3.6376060671552946
40,5.035800645622303,4.924254578669611
41,2.6428362406156904,3.395391659801731
42,2.5644560114151527,3.0088562067250404
43,6.158734307155878,2.685728125450837
44,3.416127716799028,5.736281584547485
45,1.9456480171286183,4.394471101290227
46,2.66730380197291,3.2292035467874753
47,3.675027635869006,2.234067947041664
48,5.335280391141879,3.491990914609424
49,4.865682119439098,3.4867561490635293
50,4.083481234073108,3.2534007249453185
51,5.182900770318326,4.307694181728246
52,3.168332004907091,3.583183916632716
53,6.5904697823844165,5.663585545440003
54,2.1940964348608083,3.0824854576538687
55,3.185412000628671,3.129877155414769
56,4.620357739015972,4.779453313440685
57,7.491187475770737,4.4427562446336495
58,4.039563118552447,7.196683800238693
59,5.170636297229766,3.0295448038137107
60,4.770482550014081,8.234661469788005
61,2.4691942136082186,3.8713948816960975
62,3.7061158252441597,13.350421195405941
63,1.834096737746886,3.427653840030878
64,2.0570873124379414,4.583411800253664
65,4.8830071190304105,5.543258932876921
66,4.205202636774644,2.7069399599369133
