file,line,op,method,keys,class,name_evidence,src
exploration/AUDIT_baseline_provenance/probe.py,46,GROUPBY,groupby,<var:ent>|season,NOT_PLAYER_KEYED,,"d.groupby([ent, 'season'], sort=False)"
exploration/AUDIT_baseline_provenance/probe.py,47,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,g[num].transform('sum')
exploration/AUDIT_baseline_provenance/probe.py,48,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,g[den].transform('sum')
exploration/AUDIT_baseline_provenance/probe.py,52,SORT,sort_values,<var:ent>|season|<var:datecol>,NOT_PLAYER_KEYED,,"day.sort_values([ent, 'season', datecol])"
exploration/AUDIT_baseline_provenance/probe.py,55,JOIN,merge,<var:ent>|season|<var:datecol>,NOT_PLAYER_KEYED,,"d.merge(day[[ent, 'season', datecol, 'cn', 'cd']], on=[ent, 'season', datecol], how='left')"
exploration/AUDIT_baseline_provenance/probe.py,138,GROUPBY,groupby,OPP_TEAM_ID|season|zone,NOT_PLAYER_KEYED,,"day.groupby(key, sort=False)"
exploration/AUDIT_baseline_provenance/probe.py,146,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,g['_att'].transform('sum')
exploration/AUDIT_baseline_provenance/probe.py,147,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,g['_mk'].transform('sum')
exploration/AUDIT_baseline_provenance/probe.py,152,JOIN,merge,<none>,UNRESOLVED_KEY,,"B.merge(day[key + ['_d', 'opp_zone_pre', 'opp_zone_future']], on=key + ['_d'], how='left')"
exploration/AUDIT_baseline_provenance/probe.py,165,GROUPBY,groupby,PLAYER_ID|season|zone,PLAYER_ID_KEYED,player_id,"pday.groupby(pk, sort=False)"
exploration/AUDIT_baseline_provenance/probe.py,172,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,pg['_att'].transform('sum')
exploration/AUDIT_baseline_provenance/probe.py,173,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,pg['_mk'].transform('sum')
exploration/AUDIT_baseline_provenance/probe.py,178,JOIN,merge,<none>,UNRESOLVED_KEY,,"B.merge(pday[pk + ['_d', 'own_zone_pre', 'own_zone_future']], on=pk + ['_d'], how='left')"
exploration/AUDIT_baseline_provenance/probe.py,45,SORT,sort_values,<var:ent>|season|<var:datecol>,NOT_PLAYER_KEYED,,"df.sort_values([ent, 'season', datecol])"
exploration/AUDIT_baseline_provenance/probe.py,136,SORT,sort_values,<none>,UNRESOLVED_KEY,,"B.groupby(key + ['_d'], as_index=False)[['_att', '_mk']].sum().sort_values(key + ['_d'])"
exploration/AUDIT_baseline_provenance/probe.py,163,SORT,sort_values,<none>,UNRESOLVED_KEY,,"B.groupby(pk + ['_d'], as_index=False)[['_att', '_mk']].sum().sort_values(pk + ['_d'])"
exploration/AUDIT_baseline_provenance/probe.py,28,UNIQUE,unique,<none>,UNRESOLVED_KEY,,pd.unique(df['season'])
exploration/AUDIT_baseline_provenance/probe.py,51,GROUPBY,groupby,<var:ent>|season|<var:datecol>,NOT_PLAYER_KEYED,,"d.groupby([ent, 'season', datecol], as_index=False)"
exploration/AUDIT_baseline_provenance/probe.py,53,GROUPBY,groupby,<var:ent>|season,NOT_PLAYER_KEYED,,"day.groupby([ent, 'season'], sort=False)"
exploration/AUDIT_baseline_provenance/probe.py,54,GROUPBY,groupby,<var:ent>|season,NOT_PLAYER_KEYED,,"day.groupby([ent, 'season'], sort=False)"
exploration/AUDIT_baseline_provenance/probe.py,136,GROUPBY,groupby,<none>,UNRESOLVED_KEY,,"B.groupby(key + ['_d'], as_index=False)"
exploration/AUDIT_baseline_provenance/probe.py,163,GROUPBY,groupby,<none>,UNRESOLVED_KEY,,"B.groupby(pk + ['_d'], as_index=False)"
exploration/AUDIT_SCREEN_INTEGRITY/audit_outputs.py,74,UNIQUE,unique,<none>,UNRESOLVED_KEY,,s.unique()
exploration/AUDIT_SCREEN_INTEGRITY/audit_outputs.py,152,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(x)
exploration/AUDIT_SCREEN_INTEGRITY/audit_outputs.py,154,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(x)
exploration/AUDIT_SCREEN_INTEGRITY/audit_outputs.py,140,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(x)
exploration/AUDIT_SCREEN_INTEGRITY/audit_outputs.py,142,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(x)
exploration/AUDIT_SCREEN_INTEGRITY/audit_outputs.py,88,UNIQUE,unique,<none>,UNRESOLVED_KEY,,s.unique()
exploration/AUDIT_SCREEN_INTEGRITY/rerun_I0005_permutation_sd.py,54,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(season_arr)
exploration/AUDIT_SCREEN_INTEGRITY/rerun_I0005_permutation_sd.py,27,UNIQUE,unique,season,NOT_PLAYER_KEYED,,df['season'].unique()
exploration/AUDIT_SCREEN_INTEGRITY/rerun_I0005_permutation_sd.py,26,UNIQUE,unique,season,NOT_PLAYER_KEYED,,df['season'].unique()
exploration/AUDIT_SCREEN_INTEGRITY/rerun_I0005_permutation_sd.py,70,UNIQUE,unique,<none>,UNRESOLVED_KEY,,np.unique(null_stats)
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,64,JOIN,merge,player_id|season,PLAYER_ID_KEYED,player_id,"ps.merge(mp_season, on=['player_id', 'season'], how='left')"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,74,LOOKUP,map,season,NOT_PLAYER_KEYED,,vol['season'].map(season_order)
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,77,GROUPBY,groupby,player_id,PLAYER_ID_KEYED,player_id,vol.groupby('player_id')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,132,JOIN,join,player_id|season,PLAYER_ID_KEYED,player_id,"idf.join(own_avg, on=['player_id', 'season'])"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,78,SORT,sort_values,season_idx,NOT_PLAYER_KEYED,,grp.sort_values('season_idx')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,108,GROUPTRANSFORM,transform,<none>,UNRESOLVED_KEY,,team_season.groupby('season')['fg3a_rate'].transform('median')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,61,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"mp.groupby(['player_id', 'season']).agg(minutes=('minutes', 'sum'), reb=('reb', 'sum'), games=('game_id', 'nunique'))"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,106,GROUPAGG,agg,<none>,UNRESOLVED_KEY,,"mp.groupby(['team_id', 'season']).agg(fga=('fga', 'sum'), fg3a=('fg3a', 'sum'))"
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,25,SETINDEX,set_index,game_id,NOT_PLAYER_KEYED,,poss.drop_duplicates('game_id').set_index('game_id')
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,29,MEMBERSHIP,isin,2021|2022|2023|2024|season,NOT_PLAYER_KEYED,,mp['season'].isin(PARTITION_SEASONS)
exploration/E0_I0003_rebound_interaction/aggregate_and_test.py,31,SETINDEX,set_index,player_id,PLAYER_ID_KEYED,player_id,mp.drop_duplicates('player_id').set_index('player_id')
