step,relationship,null,draw,spearman
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,0,-0.0003686971456307054
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,1,0.11433345156532938
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,2,-0.05633132338940018
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,3,-0.014173838370638637
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,4,-0.013091082196128213
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,5,0.01793081561409076
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,6,-0.04456101704407564
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,7,0.02475404633449698
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,8,-0.04788862545970467
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,9,0.12259880150092406
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,10,-0.056480669068643005
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,11,-0.07389344185786025
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,12,-0.12296283159407842
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,13,-0.08564507999327944
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,14,-0.00589448727761495
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,15,-0.009357440215057777
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,16,0.035819627755894486
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,17,-0.20450090540818036
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,18,-0.08616778987062929
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,19,0.11934586592491644
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,20,-0.007765975320626503
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,21,0.013599790916049058
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,22,0.09699535161573355
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,23,-0.027698956447066287
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,24,0.049536094983851996
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,25,-0.022989900498441202
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,26,0.00727593481061101
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,27,0.018290178654768792
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,28,0.08622379450034535
s01_reproduction,R01_prior_efficiency_persistence,within_cyclic,29,0.010220844923180315
