null_kind,statistic,draw,value
team_identity_derangement_CORRECT_LEVEL,insample_M_A,0,0.00023865238001885558
team_identity_derangement_CORRECT_LEVEL,insample_M_A,1,0.0007191453417763061
team_identity_derangement_CORRECT_LEVEL,insample_M_A,2,1.8470667423331477e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,3,0.00011919232946544511
team_identity_derangement_CORRECT_LEVEL,insample_M_A,4,1.6431500830860202e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,5,3.5775578616226156e-06
team_identity_derangement_CORRECT_LEVEL,insample_M_A,6,0.00032350350949583717
team_identity_derangement_CORRECT_LEVEL,insample_M_A,7,0.0005774801278162212
team_identity_derangement_CORRECT_LEVEL,insample_M_A,8,2.9556569768440788e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,9,0.0003388328563359577
team_identity_derangement_CORRECT_LEVEL,insample_M_A,10,0.0015084638889694135
team_identity_derangement_CORRECT_LEVEL,insample_M_A,11,7.308456927646034e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,12,0.0001146522818924467
team_identity_derangement_CORRECT_LEVEL,insample_M_A,13,2.506182262207446e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,14,0.0005887233797511326
team_identity_derangement_CORRECT_LEVEL,insample_M_A,15,7.702671972231734e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,16,0.0004100071214947487
team_identity_derangement_CORRECT_LEVEL,insample_M_A,17,0.00044943279347275933
team_identity_derangement_CORRECT_LEVEL,insample_M_A,18,0.00022387629801867703
team_identity_derangement_CORRECT_LEVEL,insample_M_A,19,0.0003606159731763814
team_identity_derangement_CORRECT_LEVEL,insample_M_A,20,0.00034936403727447995
team_identity_derangement_CORRECT_LEVEL,insample_M_A,21,3.617999948635209e-06
team_identity_derangement_CORRECT_LEVEL,insample_M_A,22,6.6496083871436795e-06
team_identity_derangement_CORRECT_LEVEL,insample_M_A,23,1.6899005261805655e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,24,0.00014623861787643744
team_identity_derangement_CORRECT_LEVEL,insample_M_A,25,0.00036608164116558317
team_identity_derangement_CORRECT_LEVEL,insample_M_A,26,6.348472718298304e-06
team_identity_derangement_CORRECT_LEVEL,insample_M_A,27,1.0592346678661713e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,28,0.0007967968761694033
team_identity_derangement_CORRECT_LEVEL,insample_M_A,29,1.7809693631076762e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,30,0.0002363882796174721
team_identity_derangement_CORRECT_LEVEL,insample_M_A,31,3.291086548917743e-05
team_identity_derangement_CORRECT_LEVEL,insample_M_A,32,1.55287644854063e-07
team_identity_derangement_CORRECT_LEVEL,insample_M_A,33,0.0006857381188006828
