catalog_number,name,family,channel,alpha_chosen,n_train,n_val,nan_share,mae_base_ridge_2024,mae_feat_2024,delta_mae,improvement,beta_feature_std,fold_deltas,fold_signs,sign_2024,sign_consistent,p_value,degenerate,note,q_value,bh_pass,survives
45,garbage_cleaned_rates,D,ft,0.05,8687,3261,0.0,2.00339,2.00024,-0.00315,0.00315,0.34466,-0.00290;-0.00343;-0.00163,---,-,True,0.00498,False,,0.042496,True,True
58,stint_pm_stability,E,np2,,8687,3261,0.0,1.61362,1.61068,-0.00294,0.00294,-0.06841,-0.00171;-0.00259;-0.00636,---,-,True,0.00498,False,,0.042496,True,True
16,opp_pace_tercile_profile,B,fg3,,8687,3261,0.0,3.38333,3.38047,-0.00286,0.00286,-0.13318,-0.00095;-0.00339;-0.00237,---,-,True,0.00498,False,personal shrunken surprise in opp pace tercile (possessions data),0.042496,True,True
74,star_whistle_proxy,G,ft,0.05,8687,3261,0.0,2.00339,2.00112,-0.00226,0.00226,0.0987,-0.00336;-0.00469;-0.00114,---,-,True,0.00498,False,,0.042496,True,True
87,prev_season_anchor,I,fg3,,8687,3261,0.4046,3.38333,3.32987,-0.05346,0.05346,0.46142,+0.00000;-0.06544;-0.04563,+--,-,False,0.00498,False,,0.042496,True,False
92,two_season_blend,I,fg3,0.9,8687,3261,0.4046,3.38333,3.33316,-0.05018,0.05018,0.44871,+0.00000;-0.06179;-0.04344,+--,-,False,0.00498,False,,0.042496,True,False
87,prev_season_anchor,I,np2,,8687,3261,0.4046,1.61362,1.58428,-0.02933,0.02933,0.22217,+0.00000;-0.02117;-0.02999,+--,-,False,0.00498,False,,0.042496,True,False
92,two_season_blend,I,np2,0.9,8687,3261,0.4046,1.61362,1.58477,-0.02884,0.02884,0.21634,+0.00000;-0.01959;-0.02830,+--,-,False,0.00498,False,,0.042496,True,False
87,prev_season_anchor,I,ft,,8687,3261,0.4046,2.00339,1.98199,-0.0214,0.0214,0.31452,+0.00000;-0.03947;-0.01524,+--,-,False,0.00498,False,,0.042496,True,False
87,prev_season_anchor,I,paint,,8687,3261,0.4046,3.47994,3.45893,-0.021,0.021,0.54926,+0.00000;-0.03141;-0.02624,+--,-,False,0.00498,False,,0.042496,True,False
92,two_season_blend,I,ft,0.8,8687,3261,0.4046,2.00339,1.98285,-0.02054,0.02054,0.32448,+0.00000;-0.03707;-0.01909,+--,-,False,0.00498,False,,0.042496,True,False
92,two_season_blend,I,paint,0.9,8687,3261,0.4046,3.47994,3.45993,-0.02001,0.02001,0.52935,+0.00000;-0.02883;-0.02331,+--,-,False,0.00498,False,,0.042496,True,False
70,zone_conversion_vs_league,F,fg3,,8687,3261,0.0,3.38333,3.37038,-0.01296,0.01296,-0.31843,-0.01182;-0.01696;+0.00882,--+,-,False,0.00498,False,,0.042496,True,False
95,team_3pvolume_spillover,J,fg3,0.5,8687,3261,0.0,3.38333,3.37519,-0.00814,0.00814,0.115,+0.01048;+0.00385;-0.00094,++-,-,False,0.00498,False,,0.042496,True,False
93,possession_denominated_rates,J,fg3,0.1,8687,3261,0.0,3.38333,3.37671,-0.00662,0.00662,-1.44587,+0.00206;-0.00183;-0.00676,+--,-,False,0.00498,False,,0.042496,True,False
70,zone_conversion_vs_league,F,paint,,8687,3261,0.0,3.47994,3.4749,-0.00504,0.00504,-0.14209,+0.00146;-0.00318;-0.00107,+--,-,False,0.00498,False,,0.042496,True,False
8,timezone_shift,A,ft,,8687,3261,0.0,2.00339,1.99911,-0.00428,0.00428,-0.06596,+0.00073;-0.00312;-0.00188,+--,-,False,0.00498,False,|venue tz - previous-game venue tz| hours (schedule fact),0.042496,True,False
65,early_clock_share,F,paint,0.1,8687,3261,0.0,3.47994,3.47637,-0.00357,0.00357,-0.24579,+0.00526;-0.00396;-0.00402,+--,-,False,0.00498,False,,0.042496,True,False
67,3ppct_by_rest,F,fg3,,8687,3261,0.0,3.38333,3.38012,-0.00322,0.00322,0.06921,+0.00440;-0.00052;-0.00059,+--,-,False,0.00498,False,,0.042496,True,False
19,career_h2h_franchise,B,paint,,8687,3261,0.0,3.47994,3.4772,-0.00273,0.00273,0.14277,+0.00786;-0.00323;-0.00290,+--,-,False,0.00498,False,"cross-season strictly-prior H2H dev, shrunk k=25",0.042496,True,False
10,tip_time_split,A,fg3,,8687,3261,0.0,3.38333,3.38027,-0.00306,0.00306,-0.09584,+0.00098;-0.00148;-0.00067,+--,-,False,0.00995,False,personal afternoon/evening surprise profile; tip from PBP wall clock,0.0796,True,False
11,trip_position,A,ft,,8687,3261,0.0,2.00339,2.00201,-0.00137,0.00137,0.05503,+0.00368;-0.00060;+0.00030,+-+,-,False,0.00995,False,"nth consecutive same-venue game, signed away=+ (schedule fact)",0.0796,True,False
26,zone_displacement_vs_opp,B,np2,,8687,3261,0.0,1.61362,1.61002,-0.0036,0.0036,0.08301,-0.00936;-0.00025;-0.00280,---,-,True,0.01493,False,player as-of zone mix dotted with opp as-of allowed-zone ratio,0.11241411764705883,False,False
4,home_usage_shift,A,fg3,0.5,8687,3261,0.0,3.38333,3.38133,-0.002,0.002,-0.0895,+0.00361;+0.00298;+0.00066,+++,-,False,0.01493,False,,0.11241411764705883,False,False
66,late_clock_share,F,ft,0.05,8687,3261,0.0,2.00339,2.00232,-0.00107,0.00107,-0.06003,-0.00186;+0.00125;-0.00028,-+-,-,False,0.0199,False,,0.14151111111111112,False,False
65,early_clock_share,F,ft,0.15,8687,3261,0.0,2.00339,2.00244,-0.00095,0.00095,0.04341,+0.00034;-0.00014;-0.00062,+--,-,False,0.0199,False,,0.14151111111111112,False,False
26,zone_displacement_vs_opp,B,fg3,,8687,3261,0.0,3.38333,3.38105,-0.00229,0.00229,0.08338,+0.00310;-0.00013;-0.00077,+--,-,False,0.02488,False,player as-of zone mix dotted with opp as-of allowed-zone ratio,0.15534829268292683,False,False
48,structural_break_score,D,fg3,,8687,3261,0.0,3.38333,3.38131,-0.00202,0.00202,-0.0448,-0.00140;-0.00017;-0.00231,---,-,True,0.02488,False,,0.15534829268292683,False,False
52,onfloor_pace_diff,E,np2,0.05,8687,3261,0.0,1.61362,1.61165,-0.00196,0.00196,0.03327,+0.00014;+0.00053;-0.00074,++-,-,False,0.02488,False,PROXY per catalog: possessions/min on floor vs game,0.15534829268292683,False,False
83,post_break_flag,H,ft,,8687,3261,0.0,2.00339,2.00163,-0.00176,0.00176,-0.07357,+0.01291;+0.00434;-0.00647,++-,-,False,0.02488,False,first 3 team games after the season's longest league-wide gap,0.15534829268292683,False,False
5,home_minutes_shift,A,np2,0.45,8687,3261,0.0,1.61362,1.61287,-0.00075,0.00075,0.02074,-0.00060;+0.00022;-0.00056,-+-,-,False,0.02488,False,,0.15534829268292683,False,False
52,onfloor_pace_diff,E,fg3,0.05,8687,3261,0.0,3.38333,3.38058,-0.00275,0.00275,0.09333,-0.00268;+0.00039;+0.00021,-++,-,False,0.03483,False,PROXY per catalog: possessions/min on floor vs game,0.20264727272727273,False,False
48,structural_break_score,D,paint,,8687,3261,0.0,3.47994,3.47848,-0.00146,0.00146,0.07881,-0.00138;+0.00103;-0.00048,-+-,-,False,0.03483,False,,0.20264727272727273,False,False
58,stint_pm_stability,E,ft,,8687,3261,0.0,2.00339,2.00246,-0.00093,0.00093,-0.063,-0.00178;-0.00527;-0.00637,---,-,True,0.03483,False,,0.20264727272727273,False,False
98,season_series_meeting_no,J,np2,,8687,3261,0.0,1.61362,1.60976,-0.00385,0.00385,-0.04998,-0.00251;-0.00607;-0.01331,---,-,True,0.0398,False,,0.203776,False,False
98,season_series_meeting_no,J,paint,,8687,3261,0.0,3.47994,3.47822,-0.00172,0.00172,-0.05334,+0.00112;-0.00052;-0.00432,+--,-,False,0.0398,False,,0.203776,False,False
46,early_foul_tendency,D,ft,0.2,8687,3261,0.0,2.00339,2.00194,-0.00145,0.00145,0.06367,-0.00347;-0.00059;-0.00121,---,-,True,0.0398,False,,0.203776,False,False
1,home_lift_shrunk,A,fg3,0.05,8687,3261,0.0,3.38333,3.3822,-0.00113,0.00113,-0.0594,+0.00292;+0.00016;+0.00056,+++,-,False,0.0398,False,"pts/36 home-away EWMA split, shrunk to +0.38 league mean, x venue sign",0.203776,False,False
23,opp_rotation_x_minshare,B,paint,0.5,8687,3261,0.0,3.47994,3.47911,-0.00082,0.00082,-0.04234,+0.01071;+0.00316;-0.00051,++-,-,False,0.0398,False,,0.203776,False,False
73,ftr_x_crew_fta,G,ft,0.05,8687,3261,0.0,2.00339,2.00282,-0.00057,0.00057,0.04683,-0.00155;-0.00298;-0.00041,---,-,True,0.0398,False,,0.203776,False,False
62,zone_mix_drift,F,fg3,,8687,3261,0.0,3.38333,3.3814,-0.00193,0.00193,0.13776,+0.00405;-0.00232;+0.01192,+-+,-,False,0.04478,False,,0.21229037037037038,False,False
13,3pa_vs_opp_3pallowed,B,fg3,0.05,8687,3261,0.0,3.38333,3.38174,-0.0016,0.0016,0.09948,+0.00507;-0.00083;+0.00113,+-+,-,False,0.04478,False,,0.21229037037037038,False,False
52,onfloor_pace_diff,E,paint,0.45,8687,3261,0.0,3.47994,3.47873,-0.00121,0.00121,0.05601,-0.00040;-0.00005;+0.00018,--+,-,False,0.04478,False,PROXY per catalog: possessions/min on floor vs game,0.21229037037037038,False,False
38,hot_hand_3p_dev,D,fg3,,8687,3261,0.0,3.38333,3.38215,-0.00119,0.00119,-0.09087,-0.00218;+0.00051;-0.00409,-+-,-,False,0.04478,False,,0.21229037037037038,False,False
54,starter_unit_share,E,fg3,0.45,8687,3261,0.0,3.38333,3.3806,-0.00274,0.00274,-0.07421,+0.00013;+0.00052;-0.00241,++-,-,False,0.04975,False,"share of possessions with >=3 own starters (context share, not production split)",0.22343859649122808,False,False
43,shot_distance_drift,D,paint,,8687,3261,0.0,3.47994,3.47856,-0.00138,0.00138,-0.13773,-0.00072;-0.00119;-0.00386,---,-,True,0.04975,False,,0.22343859649122808,False,False
88,career_trajectory_slope,I,paint,,8687,3261,0.6744,3.47994,3.47893,-0.00101,0.00101,0.04216,+0.00000;+0.00000;+0.00884,+++,-,False,0.04975,False,,0.22343859649122808,False,False
51,lineup_familiarity,E,np2,,8687,3261,0.0,1.61362,1.61205,-0.00157,0.00157,0.03476,+0.00020;-0.00305;+0.00008,+-+,-,False,0.05473,False,,0.22968655737704918,False,False
45,garbage_cleaned_rates,D,fg3,0.25,8687,3261,0.0,3.38333,3.38233,-0.001,0.001,-0.06915,+0.00039;+0.00016;+0.00009,+++,-,False,0.05473,False,,0.22968655737704918,False,False
22,opp_dreb_x_secondchance,B,paint,0.15,8687,3261,0.0,3.47994,3.47912,-0.00082,0.00082,0.06951,+0.00050;-0.00020;-0.00092,+--,-,False,0.05473,False,,0.22968655737704918,False,False
19,career_h2h_franchise,B,ft,,8687,3261,0.0,2.00339,2.00266,-0.00073,0.00073,0.0445,+0.00109;-0.00101;+0.00171,+-+,-,False,0.05473,False,"cross-season strictly-prior H2H dev, shrunk k=25",0.22968655737704918,False,False
19,career_h2h_franchise,B,fg3,,8687,3261,0.0,3.38333,3.38203,-0.00131,0.00131,0.04956,+0.00065;-0.00005;-0.00040,+--,-,False,0.0597,False,"cross-season strictly-prior H2H dev, shrunk k=25",0.2425904761904762,False,False
5,home_minutes_shift,A,paint,0.05,8687,3261,0.0,3.47994,3.47902,-0.00092,0.00092,-0.06574,+0.00006;+0.00061;-0.00169,++-,-,False,0.0597,False,,0.2425904761904762,False,False
60,second_unit_anchor,E,paint,,8687,3261,0.0,3.47994,3.47886,-0.00108,0.00108,-0.09157,-0.00150;-0.00207;-0.00531,---,-,True,0.06468,False,,0.25473969230769233,False,False
19,career_h2h_franchise,B,np2,,8687,3261,0.0,1.61362,1.61311,-0.00051,0.00051,0.02168,+0.00165;+0.00042;-0.00008,++-,-,False,0.06468,False,"cross-season strictly-prior H2H dev, shrunk k=25",0.25473969230769233,False,False
41,ftpct_leading_indicator,D,fg3,0.05,8687,3261,0.0,3.38333,3.3823,-0.00104,0.00104,0.04744,-0.00281;-0.00441;-0.00159,---,-,True,0.06965,False,,0.27015757575757576,False,False
46,early_foul_tendency,D,paint,0.2,8687,3261,0.0,3.47994,3.47872,-0.00121,0.00121,0.10563,-0.00376;-0.00282;-0.00086,---,-,True,0.07463,False,,0.28096,False,False
61,shot_diet_xpts,F,paint,0.3,8687,3261,0.0,3.47994,3.47906,-0.00088,0.00088,-0.10065,-0.00141;-0.00329;-0.00222,---,-,True,0.07463,False,,0.28096,False,False
78,personal_ref_history,G,ft,,8687,3261,0.0,2.00339,2.00271,-0.00068,0.00068,-0.0273,+0.00352;+0.00009;+0.00014,+++,-,False,0.0796,False,likely pure noise per catalog; cheap to kill,0.29532753623188407,False,False
47,post_absence_ramp,D,np2,,8687,3261,0.0,1.61362,1.61236,-0.00126,0.00126,0.04132,+0.00070;-0.00291;-0.00006,+--,-,False,0.08955,False,,0.305664,False,False
89,team_change_reset,I,ft,,8687,3261,0.0,2.00339,2.0024,-0.00099,0.00099,-0.02525,+0.00463;-0.00011;+0.00013,+-+,-,False,0.08955,False,exp(-games_since_change/5); in-season trades + offseason moves,0.305664,False,False
26,zone_displacement_vs_opp,B,paint,,8687,3261,0.0,3.47994,3.47905,-0.00089,0.00089,0.05018,-0.00065;-0.00010;-0.00055,---,-,True,0.08955,False,player as-of zone mix dotted with opp as-of allowed-zone ratio,0.305664,False,False
55,closing_lineup_membership,E,paint,,8687,3261,0.0,3.47994,3.47922,-0.00071,0.00071,0.12001,-0.00938;-0.00346;-0.00400,---,-,True,0.08955,False,,0.305664,False,False
25,opp_transdef_x_transshare,B,ft,0.2,8687,3261,0.0,2.00339,2.00302,-0.00037,0.00037,0.01323,-0.00065;-0.00052;+0.00052,--+,-,False,0.08955,False,,0.305664,False,False
100,h2h_micro_update,J,np2,,8687,3261,0.0,1.61362,1.61324,-0.00037,0.00037,0.03563,+0.00018;-0.00001;+0.00026,+-+,-,False,0.08955,False,,0.305664,False,False
36,fast_slow_ewma_gap,D,ft,,8687,3261,0.0,2.00339,2.00305,-0.00034,0.00034,-0.01684,+0.00138;+0.00144;-0.00008,++-,-,False,0.09453,False,alpha 0.40 minus 0.05 rate gap (fixed pair by design),0.31841684210526316,False,False
62,zone_mix_drift,F,paint,,8687,3261,0.0,3.47994,3.47919,-0.00075,0.00075,-0.01798,+0.00121;+0.00143;-0.00071,++-,-,False,0.0995,False,,0.3308051948051948,False,False
10,tip_time_split,A,np2,,8687,3261,0.0,1.61362,1.61321,-0.0004,0.0004,-0.01139,-0.00131;+0.00056;-0.00053,-+-,-,False,0.10945,False,personal afternoon/evening surprise profile; tip from PBP wall clock,0.3592205128205128,False,False
71,clutch_ft_split,F,ft,,8687,3261,0.0,2.00339,2.00242,-0.00097,0.00097,0.03934,-0.00139;-0.00085;-0.00037,---,-,True,0.11443,False,,0.366176,False,False
83,post_break_flag,H,paint,,8687,3261,0.0,3.47994,3.47925,-0.00068,0.00068,-0.04288,+0.00348;+0.00037;-0.00078,++-,-,False,0.11443,False,first 3 team games after the season's longest league-wide gap,0.366176,False,False
43,shot_distance_drift,D,ft,,8687,3261,0.0,2.00339,2.00299,-0.0004,0.0004,-0.01162,-0.00037;+0.00079;+0.00013,-++,-,False,0.13433,False,,0.42454913580246917,False,False
100,h2h_micro_update,J,paint,,8687,3261,0.0,3.47994,3.47959,-0.00034,0.00034,0.07835,+0.00201;-0.00152;-0.00144,+--,-,False,0.14428,False,,0.4504351219512195,False,False
96,opp_def_profile_drift,J,ft,,8687,3261,0.0,2.00339,2.00316,-0.00023,0.00023,-0.01166,-0.00005;+0.00153;-0.00000,-+-,-,False,0.14925,False,,0.46033734939759036,False,False
12,opp_def_tercile_profile,B,paint,,8687,3261,0.0,3.47994,3.47948,-0.00045,0.00045,-0.04406,-0.00007;+0.00073;+0.00011,-++,-,False,0.15423,False,personal shrunken surprise in opp pts-allowed tercile,0.4645044705882353,False,False
48,structural_break_score,D,np2,,8687,3261,0.0,1.61362,1.61339,-0.00023,0.00023,-0.0161,+0.00003;+0.00006;-0.00023,++-,-,False,0.15423,False,,0.4645044705882353,False,False
36,fast_slow_ewma_gap,D,paint,,8687,3261,0.0,3.47994,3.4797,-0.00024,0.00024,0.01588,+0.00027;+0.00003;-0.00011,++-,-,False,0.16418,False,alpha 0.40 minus 0.05 rate gap (fixed pair by design),0.48872186046511623,False,False
39,role_expansion,D,paint,,8687,3261,0.0,3.47994,3.47957,-0.00037,0.00037,-0.03204,+0.00302;+0.00012;+0.00232,+++,-,False,0.1791,False,,0.5210181818181818,False,False
94,blowout_x_min_elasticity,J,ft,,8687,3261,0.0,2.00339,2.00315,-0.00024,0.00024,0.01064,+0.00053;+0.00140;+0.00059,+++,-,False,0.1791,False,,0.5210181818181818,False,False
82,season_phase_linear,H,np2,,8687,3261,0.0,1.61362,1.61159,-0.00202,0.00202,-0.03009,-0.00075;-0.00878;-0.00895,---,-,True,0.18905,False,games-into-season; single linear column (nonlinear ramp out of scope for one series),0.5284221276595745,False,False
88,career_trajectory_slope,I,fg3,,8687,3261,0.6744,3.38333,3.38245,-0.00089,0.00089,0.04088,+0.00000;+0.00000;+0.00212,+++,-,False,0.19403,False,,0.5284221276595745,False,False
83,post_break_flag,H,np2,,8687,3261,0.0,1.61362,1.61284,-0.00078,0.00078,-0.02654,-0.00284;-0.00027;+0.00055,--+,-,False,0.19403,False,first 3 team games after the season's longest league-wide gap,0.5284221276595745,False,False
82,season_phase_linear,H,paint,,8687,3261,0.0,3.47994,3.47919,-0.00075,0.00075,-0.02344,+0.00047;+0.00120;+0.00286,+++,-,False,0.18408,False,games-into-season; single linear column (nonlinear ramp out of scope for one series),0.5284221276595745,False,False
40,usage_eff_divergence,D,paint,,8687,3261,0.0,3.47994,3.47972,-0.00021,0.00021,-0.00737,-0.00017;+0.00072;+0.00023,-++,-,False,0.18905,False,,0.5284221276595745,False,False
77,tech_x_techcrew,G,paint,,8687,3261,0.0,3.47994,3.47972,-0.00021,0.00021,-0.01437,-0.00081;+0.00119;+0.00003,-++,-,False,0.19403,False,speculative per catalog; tiny samples,0.5284221276595745,False,False
23,opp_rotation_x_minshare,B,ft,0.5,8687,3261,0.0,2.00339,2.00321,-0.00018,0.00018,0.01373,-0.00048;+0.00150;-0.00002,-+-,-,False,0.199,False,,0.5362526315789474,False,False
93,possession_denominated_rates,J,ft,0.05,8687,3261,0.0,2.00339,2.00319,-0.0002,0.0002,0.29708,-0.00019;-0.00062;-0.00065,---,-,True,0.20398,False,,0.5439466666666667,False,False
40,usage_eff_divergence,D,fg3,,8687,3261,0.0,3.38333,3.38308,-0.00025,0.00025,0.01662,-0.00037;-0.00163;+0.00392,--+,-,False,0.20896,False,,0.545854693877551,False,False
1,home_lift_shrunk,A,np2,0.05,8687,3261,0.0,1.61362,1.61347,-0.00014,0.00014,0.01037,-0.00029;+0.00010;-0.00005,-+-,-,False,0.20896,False,"pts/36 home-away EWMA split, shrunk to +0.38 league mean, x venue sign",0.545854693877551,False,False
56,best_pair_lift,E,fg3,,8687,3261,0.0,3.38333,3.3824,-0.00093,0.00093,0.01923,+0.01003;+0.00004;+0.00002,+++,-,False,0.21891,False,team-ppp pair lift (honest reduction; personal attribution not derivable),0.5604096,False,False
39,role_expansion,D,np2,,8687,3261,0.0,1.61362,1.61351,-0.0001,0.0001,-0.02191,-0.00001;-0.00010;-0.00057,---,-,True,0.21891,False,,0.5604096,False,False
49,star_onoff_split,E,ft,,8687,3261,0.0,2.00339,2.00315,-0.00024,0.00024,-0.01624,+0.00739;+0.00024;+0.00068,+++,-,False,0.22388,False,game-level star in/out split (honest reduction of stint on/off),0.5674582178217822,False,False
88,career_trajectory_slope,I,ft,,8687,3261,0.6744,2.00339,2.00317,-0.00022,0.00022,0.00563,+0.00000;+0.00000;+0.00097,+++,-,False,0.23881,False,,0.5935471844660194,False,False
21,opp_toforce_x_toprone,B,ft,0.05,8687,3261,0.0,2.00339,2.00325,-0.00014,0.00014,-0.00809,-0.00003;+0.00003;-0.00006,-+-,-,False,0.23881,False,,0.5935471844660194,False,False
47,post_absence_ramp,D,paint,,8687,3261,0.0,3.47994,3.47965,-0.00028,0.00028,0.02402,+0.00048;+0.00025;+0.00043,+++,-,False,0.24876,False,,0.6065005714285715,False,False
76,crewpace_x_transition,G,ft,0.05,8687,3261,0.0,2.00339,2.00334,-5e-05,5e-05,0.00872,+0.00011;+0.00000;+0.00001,+++,-,False,0.24876,False,,0.6065005714285715,False,False
89,team_change_reset,I,fg3,,8687,3261,0.0,3.38333,3.38283,-0.0005,0.0005,-0.03263,-0.00631;-0.00057;+0.00117,--+,-,False,0.25871,False,exp(-games_since_change/5); in-season trades + offseason moves,0.6189697196261682,False,False
77,tech_x_techcrew,G,fg3,,8687,3261,0.0,3.38333,3.38311,-0.00022,0.00022,-0.02447,-0.00008;+0.00035;-0.00020,-+-,-,False,0.25871,False,speculative per catalog; tiny samples,0.6189697196261682,False,False
57,competition_quality,E,fg3,0.45,8687,3261,0.0,3.38333,3.38191,-0.00142,0.00142,-0.08214,+0.00259;+0.00265;-0.00659,++-,-,False,0.27861,False,,0.6481828571428572,False,False
56,best_pair_lift,E,ft,,8687,3261,0.0,2.00339,2.00294,-0.00045,0.00045,0.01471,-0.00019;+0.00017;-0.00011,-+-,-,False,0.28358,False,team-ppp pair lift (honest reduction; personal attribution not derivable),0.6481828571428572,False,False
37,rate_volatility,D,fg3,,8687,3261,0.0,3.38333,3.38294,-0.0004,0.0004,0.01875,-0.00379;-0.00131;-0.00143,---,-,True,0.28358,False,,0.6481828571428572,False,False
97,desperation_context,J,ft,,8687,3261,0.0,2.00339,2.00303,-0.00036,0.00036,-0.01421,-0.00046;-0.00262;-0.00221,---,-,True,0.28358,False,crude standings pressure: below-.500 gap late in season,0.6481828571428572,False,False
84,rest_differential,H,np2,,8687,3261,0.0,1.61362,1.61351,-0.00011,0.00011,-0.00726,-0.00004;-0.00041;+0.00083,--+,-,False,0.27861,False,,0.6481828571428572,False,False
76,crewpace_x_transition,G,paint,0.3,8687,3261,0.0,3.47994,3.47985,-9e-05,9e-05,-0.02562,-0.00138;-0.00049;+0.00109,--+,-,False,0.28856,False,,0.6537288495575221,False,False
15,ftr_vs_opp_foulprop,B,ft,0.05,8687,3261,0.0,2.00339,2.00324,-0.00015,0.00015,0.06185,-0.00007;+0.00099;+0.00013,-++,-,False,0.29353,False,,0.6591550877192983,False,False
6,rest_bucket_profile,A,paint,,8687,3261,0.0,3.47994,3.47985,-9e-05,9e-05,0.01645,+0.00172;+0.00041;+0.00001,+++,-,False,0.29851,False,"personal shrunken surprise-vs-baseline in rest bucket {<=1,2,3+}",0.6645092173913043,False,False
85,games_in_14_days,H,np2,,8687,3261,0.0,1.61362,1.61141,-0.00221,0.00221,-0.01976,+0.00308;-0.00261;-0.00074,+--,-,False,0.30846,False,,0.6692013559322034,False,False
16,opp_pace_tercile_profile,B,paint,,8687,3261,0.0,3.47994,3.47968,-0.00025,0.00025,-0.03557,+0.00112;+0.00023;+0.00040,+++,-,False,0.30846,False,personal shrunken surprise in opp pace tercile (possessions data),0.6692013559322034,False,False
50,usage_absorption_elasticity,E,np2,,8687,3261,0.0,1.61362,1.61348,-0.00013,0.00013,0.02832,-0.00017;+0.00001;+0.00071,-++,-,False,0.30846,False,,0.6692013559322034,False,False
81,3in5_x_benchdepth,H,paint,,8687,3261,0.0,3.47994,3.47979,-0.00015,0.00015,0.08527,-0.00005;-0.00059;-0.00087,---,-,True,0.32338,False,,0.6956746218487395,False,False
100,h2h_micro_update,J,fg3,,8687,3261,0.0,3.38333,3.38317,-0.00016,0.00016,-0.02171,-0.00002;-0.00013;+0.00049,--+,-,False,0.33333,False,,0.6994465573770492,False,False
43,shot_distance_drift,D,np2,,8687,3261,0.0,1.61362,1.61351,-0.0001,0.0001,-0.01575,-0.00426;+0.00377;+0.00004,-++,-,False,0.32836,False,,0.6994465573770492,False,False
66,late_clock_share,F,paint,0.3,8687,3261,0.0,3.47994,3.4799,-4e-05,4e-05,0.0518,+0.00064;-0.00178;+0.00013,+-+,-,False,0.33333,False,,0.6994465573770492,False,False
45,garbage_cleaned_rates,D,np2,0.05,8687,3261,0.0,1.61362,1.61271,-0.0009,0.0009,0.08707,-0.00013;-0.00002;-0.00049,---,-,True,0.34328,False,,0.7144689430894309,False,False
82,season_phase_linear,H,ft,,8687,3261,0.0,2.00339,2.00309,-0.0003,0.0003,-0.00623,+0.00026;-0.00526;-0.00335,+--,-,False,0.36318,False,games-into-season; single linear column (nonlinear ramp out of scope for one series),0.7320793700787401,False,False
68,court_side_asymmetry,F,fg3,,8687,3261,0.0,3.38333,3.38324,-9e-05,9e-05,0.00537,+0.01142;+0.00268;+0.00007,+++,-,False,0.35821,False,,0.7320793700787401,False,False
75,foulprone_x_crewpf,G,np2,0.5,8687,3261,0.0,1.61362,1.61357,-5e-05,5e-05,0.01309,+0.00052;-0.00001;+0.00011,+-+,-,False,0.36318,False,,0.7320793700787401,False,False
75,foulprone_x_crewpf,G,fg3,0.45,8687,3261,0.0,3.38333,3.38329,-4e-05,4e-05,-0.01123,+0.00336;+0.00059;+0.00001,+++,-,False,0.36318,False,,0.7320793700787401,False,False
88,career_trajectory_slope,I,np2,,8687,3261,0.6744,1.61362,1.61305,-0.00057,0.00057,0.00987,+0.00000;+0.00000;+0.00147,+++,-,False,0.36816,False,,0.73632,False,False
70,zone_conversion_vs_league,F,np2,,8687,3261,0.0,1.61362,1.61351,-0.0001,0.0001,0.0349,+0.00208;-0.00002;+0.00002,+-+,-,False,0.37313,False,,0.74047503875969,False,False
