screen,file,line,code
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/base.py,90,"print(""  master_player: raw %d -> partition+RS %d rows | seasons %s | max date %s"""
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/base.py,124,"print(""  possessions sanity: n=%d min=%.1f p1=%.1f med=%.1f mean=%.1f p99=%.1f max=%.1f"""
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_pair_history.py,68,"""mean=%.2f med=%.0f p25=%.0f p75=%.0f max=%.0f | frac with n>=3: %.3f | n>=6: %.3f"""
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_pair_history.py,70,"w[""pair_n""].quantile(.75), w[""pair_n""].max(),"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_availability.py,17,nominal   = max spec over the opponent's ROSTER POOL as of this date (players with >=
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_availability.py,19,available = max spec over the opponent's players who ACTUALLY APPEAR tonight
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f34_style_rest.py,123,"print(""  rest: med=%.1f | b2b share=%.3f | travel_km: med=%.0f p90=%.0f max=%.0f """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,122,"""method"": ""Randomization max-T. All 60 shipped placebo columns (200 draws each) are pooled """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,130,"""have standardized z between 3.4 and 3.7, well below the max-T p95 of """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,219,"""construction"": ""For the opponent, DELTA = (max prior %s-per-100 over the roster pool as of """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,220,"""tonight) - (max prior %s-per-100 among players who actually appear """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,344,"""standardized z = 3.4 against a 60-test max-T null whose p95 is 6.53, so it is """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,354,"""seasons) but has standardized z = 3.5 against a max-T p95 of 6.53. Killed on """
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/make_findings.py,382,"""60 tests x 200 permutations (max 9.34); family-wise p = 0.0000."""
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/r_robustness.py,20,max-statistic family-wise p using the pooled placebo draws from every F3/F4 test as
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/r_robustness.py,169,"print(""  max-T null: mean=%.2f p95=%.2f max=%.2f"" % (maxT.mean(), np.quantile(maxT, .95), maxT.max()))"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/verify_partition.py,45,"bad.append((name, ""DATE BEYOND PARTITION in %s: %s"" % (c, dt.max())))"
E0_I0013_possession_volume,E0_I0013_possession_volume/make_findings.py,35,"""clears the family-wise max-T null across all 27 cells at p=%.3f (z=%.2f against """
