column,label,origin,basis,hazard,dtype,nulls,nunique,named_in_availability_table,in_acceptance_criteria_named_six
game_id,ELIGIBLE,"source pbp key, preserved","schedule identity, fixed before tip; constant within game; join key only",none as an identity; it is the grouping key of the target's own construction,str,0,1495,True,False
season,ELIGIBLE,"source pbp key, preserved",schedule fact; constant within game,fold identifier -- do not also enter it as a feature inside a chronological fold,str,0,6,True,False
season_type,ELIGIBLE,"source pbp key, preserved","schedule fact known at the cutoff; the one possession column already used, as is_playoff_game in possession_features.py",fold-degenerate: 0 playoff games in fold 2026 (measured below),str,0,2,True,False
era,CUTOFF_UNPROVEN,"build_possessions.py: ev['era'], set by wnba_schema.detect_era on the game's OWN pbp file","it is the schema era of the target game's play-by-play FILE, which does not exist before the game is played and ingested. Availability is established; cutoff validity is not.","measured NOT a function of season or season_type, so it cannot be recovered from the schedule; and it is fold-degenerate (fold 2026 is 100% v3)",str,0,2,False,False
possession_idx,LAGGED_USE_ONLY,source pbp emission order,realised within-game sequence position; its per-game maximum is the realised possession count of the target game,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,234,False,False
period,LAGGED_USE_ONLY,source pbp,"REALISED period count. game_minutes = 40 + 5*max(0, max_period - 4) is the target's OWN denominator, so the target-game value is an exact overtime and duration surrogate -- the quantity the ruling prohibits by name","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",int64,0,8,True,False
start_sec,LAGGED_USE_ONLY,source pbp,realised absolute elapsed game seconds,"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,4973,False,False
end_sec,LAGGED_USE_ONLY,source pbp,"realised absolute elapsed game seconds; its per-game maximum equals game_minutes*60 EXACTLY (measured), so it recovers realised duration","target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,4974,False,False
duration_sec,LAGGED_USE_ONLY,source pbp,realised possession length; its per-game sum equals game_minutes*60 EXACTLY (measured),"target-game value is PROHIBITED on the prediction path; only an aggregate over STRICTLY EARLIER games may be proposed, and that construction needs its own adjudication -- this node does not license one",float64,0,446,True,False
offense_team_id,ELIGIBLE,source pbp,"team identity; the unordered pair of teams is schedule-determined and the value is constant within (game_id, team_id) by definition of the grouping","SEVERE: the ROW MULTIPLICITY of this column IS the target numerator. Identity use requires a drop_duplicates join; any count, size or per-possession aggregate reconstructs the target exactly (measured below)",int64,0,15,False,False
