draw,t_defective_noop,t_live_block_control
0,-15.270402807023455,-11.071737684782331
1,-15.270402807023455,-9.88742407271806
2,-15.270402807023455,-11.707476267050513
3,-15.270402807023455,-11.888792963350292
4,-15.270402807023455,-12.252917690553218
5,-15.270402807023455,-12.637536934436403
6,-15.270402807023455,-12.111666227229168
7,-15.270402807023455,-13.394370264152062
8,-15.270402807023455,-11.620825162967902
9,-15.270402807023455,-11.69760671816377
10,-15.270402807023455,-12.389134356316577
11,-15.270402807023455,-12.480260127037047
12,-15.270402807023455,-11.776135243344944
13,-15.270402807023455,-11.69717230053104
14,-15.270402807023455,-9.631556497402347
15,-15.270402807023455,-11.881818297500038
16,-15.270402807023455,-11.042895069466713
17,-15.270402807023455,-8.910327747576954
18,-15.270402807023455,-11.894519060726909
19,-15.270402807023455,-11.106347765647586
20,-15.270402807023455,-11.668466671387629
21,-15.270402807023455,-12.141580817551974
22,-15.270402807023455,-11.55508299812475
23,-15.270402807023455,-11.017021922775072
24,-15.270402807023455,-9.898139390805984
25,-15.270402807023455,-11.346394793314833
26,-15.270402807023455,-11.937732392438532
27,-15.270402807023455,-13.376802288980429
28,-15.270402807023455,-10.161151227405774
29,-15.270402807023455,-8.740290182972371
30,-15.270402807023455,-11.765004858056535
31,-15.270402807023455,-9.82984805930763
32,-15.270402807023455,-10.236881958390455
33,-15.270402807023455,-11.127591505000465
34,-15.270402807023455,-11.996858550622928
35,-15.270402807023455,-11.57403601453984
36,-15.270402807023455,-10.925748942053719
37,-15.270402807023455,-11.099473172940993
38,-15.270402807023455,-10.886143691570478
39,-15.270402807023455,-10.781385173784615
40,-15.270402807023455,-11.920749218523788
41,-15.270402807023455,-12.090017715636963
42,-15.270402807023455,-10.757351258341757
43,-15.270402807023455,-11.741714078971102
44,-15.270402807023455,-10.087820246407045
45,-15.270402807023455,-12.64034039147899
46,-15.270402807023455,-11.421332500406804
47,-15.270402807023455,-11.181300673653505
48,-15.270402807023455,-10.890693625912675
49,-15.270402807023455,-10.115527520349001
50,-15.270402807023455,-12.086453292810106
51,-15.270402807023455,-10.167175256705796
52,-15.270402807023455,-11.664770355922968
53,-15.270402807023455,-8.775382256947518
54,-15.270402807023455,-10.712620909116986
55,-15.270402807023455,-12.769399492705357
56,-15.270402807023455,-11.756989761294133
57,-15.270402807023455,-10.69727622397618
58,-15.270402807023455,-11.704583555887897
59,-15.270402807023455,-11.477736917955285
60,-15.270402807023455,-12.173595384772991
61,-15.270402807023455,-12.504671892958815
62,-15.270402807023455,-10.152436503374599
63,-15.270402807023455,-12.381538097875602
64,-15.270402807023455,-10.067330753427578
65,-15.270402807023455,-12.078114689314257
66,-15.270402807023455,-9.674445803349006
67,-15.270402807023455,-11.471378875693556
68,-15.270402807023455,-10.17839232677504
69,-15.270402807023455,-11.89923093540527
70,-15.270402807023455,-10.955613935350804
71,-15.270402807023455,-10.344327533904595
72,-15.270402807023455,-8.655994686989885
73,-15.270402807023455,-10.882532096841468
74,-15.270402807023455,-11.747810370654408
75,-15.270402807023455,-11.67841496678994
76,-15.270402807023455,-10.394002362408823
77,-15.270402807023455,-11.630443958825266
78,-15.270402807023455,-10.34112042618628
79,-15.270402807023455,-10.90765372577796
80,-15.270402807023455,-12.626996055679264
81,-15.270402807023455,-10.643319460632448
82,-15.270402807023455,-12.296059424011997
83,-15.270402807023455,-9.18657849943233
84,-15.270402807023455,-11.133692941742279
85,-15.270402807023455,-11.839775191420912
86,-15.270402807023455,-11.673736160620736
87,-15.270402807023455,-8.596391316364501
88,-15.270402807023455,-13.141934425593453
89,-15.270402807023455,-10.893855694413034
90,-15.270402807023455,-12.350075013197904
91,-15.270402807023455,-10.573194666694127
92,-15.270402807023455,-9.173929117065324
93,-15.270402807023455,-12.919274651778665
94,-15.270402807023455,-11.105222825520064
95,-15.270402807023455,-9.68956682027248
96,-15.270402807023455,-11.136736487001807
97,-15.270402807023455,-11.599008716179952
98,-15.270402807023455,-11.124994571631383
99,-15.270402807023455,-11.110971716690658
100,-15.270402807023455,-12.537973887354317
101,-15.270402807023455,-11.168470214849345
102,-15.270402807023455,-10.229536960307499
103,-15.270402807023455,-11.527687948314576
104,-15.270402807023455,-11.308210421464143
105,-15.270402807023455,-10.515805483329082
106,-15.270402807023455,-13.160920977403928
107,-15.270402807023455,-9.499499600441203
108,-15.270402807023455,-10.496799447417704
109,-15.270402807023455,-10.5205137314787
110,-15.270402807023455,-11.357700187483049
111,-15.270402807023455,-12.053137928491994
112,-15.270402807023455,-12.395199224344882
113,-15.270402807023455,-12.421437814330172
114,-15.270402807023455,-11.502668658668584
115,-15.270402807023455,-10.8482024230701
116,-15.270402807023455,-13.073425741920282
117,-15.270402807023455,-11.151454332672843
118,-15.270402807023455,-10.901785258303418
119,-15.270402807023455,-12.016906214628607
120,-15.270402807023455,-8.85169080622939
121,-15.270402807023455,-11.063565584812917
122,-15.270402807023455,-12.091247629385743
123,-15.270402807023455,-13.508629443839785
124,-15.270402807023455,-10.580887225486707
125,-15.270402807023455,-12.10144147318508
126,-15.270402807023455,-11.746123962555634
127,-15.270402807023455,-11.829071297571748
128,-15.270402807023455,-11.992918031827275
129,-15.270402807023455,-12.54570148943172
130,-15.270402807023455,-12.12786780793963
131,-15.270402807023455,-12.521461279852565
132,-15.270402807023455,-13.02344036074162
133,-15.270402807023455,-10.814588892776188
134,-15.270402807023455,-11.083405270724366
135,-15.270402807023455,-10.73126858863645
136,-15.270402807023455,-9.559990049807888
137,-15.270402807023455,-11.295868565905934
138,-15.270402807023455,-10.064119962260499
139,-15.270402807023455,-8.287415265034701
140,-15.270402807023455,-11.366325853286568
141,-15.270402807023455,-11.7503074802995
142,-15.270402807023455,-11.826907162880483
143,-15.270402807023455,-11.247226838761927
144,-15.270402807023455,-12.572775788276484
145,-15.270402807023455,-12.102154891210109
146,-15.270402807023455,-10.92012844899886
147,-15.270402807023455,-10.536519545137566
148,-15.270402807023455,-12.391492216737328
149,-15.270402807023455,-12.378058976964823
150,-15.270402807023455,-10.665130190061463
151,-15.270402807023455,-11.478927823748077
152,-15.270402807023455,-12.053173962534757
153,-15.270402807023455,-11.444980352658641
154,-15.270402807023455,-11.318348041310792
155,-15.270402807023455,-8.695259521390119
156,-15.270402807023455,-11.938864222104828
157,-15.270402807023455,-10.946327100962138
158,-15.270402807023455,-10.715949726983391
159,-15.270402807023455,-10.708023212718812
160,-15.270402807023455,-11.041969073830332
161,-15.270402807023455,-12.120274386387663
162,-15.270402807023455,-11.603979109456384
163,-15.270402807023455,-11.810284364054075
164,-15.270402807023455,-12.727050961737259
165,-15.270402807023455,-12.399126845182524
166,-15.270402807023455,-11.58313354703181
167,-15.270402807023455,-10.09672868148096
168,-15.270402807023455,-10.832638218097815
169,-15.270402807023455,-11.14959657115245
170,-15.270402807023455,-11.285808126061022
171,-15.270402807023455,-12.6241829874137
172,-15.270402807023455,-10.139444407764682
173,-15.270402807023455,-10.107921304390487
174,-15.270402807023455,-12.27632604996903
175,-15.270402807023455,-11.155714988663828
176,-15.270402807023455,-10.92844055442425
177,-15.270402807023455,-12.035781027897217
178,-15.270402807023455,-11.146101640070771
179,-15.270402807023455,-13.520834689707375
180,-15.270402807023455,-9.684791539289451
181,-15.270402807023455,-11.860418491741903
182,-15.270402807023455,-10.791275134142973
183,-15.270402807023455,-10.455386432692029
184,-15.270402807023455,-11.945837092949025
185,-15.270402807023455,-10.547770871978175
186,-15.270402807023455,-9.49793583129387
187,-15.270402807023455,-10.131150536876033
188,-15.270402807023455,-11.918899411469067
189,-15.270402807023455,-10.593690156027192
190,-15.270402807023455,-11.915590615441893
191,-15.270402807023455,-11.08302263019413
192,-15.270402807023455,-10.157240006801436
193,-15.270402807023455,-11.354201682161195
194,-15.270402807023455,-10.782273765713002
195,-15.270402807023455,-9.291318991626131
196,-15.270402807023455,-10.536613486238272
197,-15.270402807023455,-10.083512584374416
198,-15.270402807023455,-10.263607586396532
199,-15.270402807023455,-10.531004483599563
