anchor_id,quantity,mine,published,abs_diff,tolerance,confirmed
A1,RS1P champion rows,20084,20084,0.0,0.0,True
A2,tier-B admitted by S2,3266,3266,0.0,0.0,True
A3,tier-B admitted by S_TX only,506,506,0.0,0.0,True
A4_1,S2 rows seasons_since_club=1,1765,1765,0.0,0.0,True
A4_2,S2 rows seasons_since_club=2,991,991,0.0,0.0,True
A4_3,S2 rows seasons_since_club=3,432,432,0.0,0.0,True
A4_99,S2 rows seasons_since_club=99,78,78,0.0,0.0,True
A5_dep,S2 rows departed,1489,1489,0.0,0.0,True
A5_not,S2 rows not departed,1777,1777,0.0,0.0,True
A6,RS1P rows in the decision stratum,4964,4964,0.0,0.0,True
A7_daily_forecast.py,p_active refs in daily_forecast.py,0,0,0.0,0.0,True
A7_props_edge.py,p_active refs in props_edge.py,0,0,0.0,0.0,True
A7_conditional_edge.py,p_active refs in conditional_edge.py,0,0,0.0,0.0,True
A7_calibrated_prob_edge.py,p_active refs in calibrated_prob_edge.py,0,0,0.0,0.0,True
A7_daily_certify.py,p_active refs in daily_certify.py,0,0,0.0,0.0,True
A7_daily_refresh.py,p_active refs in daily_refresh.py,0,0,0.0,0.0,True
A7_props_capture_daily.py,p_active refs in props_capture_daily.py,0,0,0.0,0.0,True
A7_odds_capture_daily.py,p_active refs in odds_capture_daily.py,0,0,0.0,0.0,True
A7_injury_capture_daily.py,p_active refs in injury_capture_daily.py,0,0,0.0,0.0,True
A7_wnba-prediction-engine,p_active refs in wnba-prediction-engine/ (recursive),0,0,0.0,0.0,True
A7_wnba_odds_system,p_active refs in wnba_odds_system/ (recursive),0,0,0.0,0.0,True
A7_wnba-odds-aggregator,p_active refs in wnba-odds-aggregator/ (recursive),0,0,0.0,0.0,True
A7_forecasts,p_active refs in forecasts/ (recursive),0,0,0.0,0.0,True
A7_leaderboards,p_active refs in leaderboards/ (recursive),0,0,0.0,0.0,True
